"","Date","Time","BEN","NO","NO2","O3","PM10","PM2.5","SO","WEEK_DAY","LUFTTEMPERATUR1","LUFTTEMPERATUR2","LUFTTEMPERATUR3","REL_FEUCHTE1","REL_FEUCHTE2","REL_FEUCHTE3","WINDGESCHWINDIGKEIT1","WINDGESCHWINDIGKEIT2","WINDGESCHWINDIGKEIT3","WINDRICHTUNG1","WINDRICHTUNG2","WINDRICHTUNG3"
"1","2015-04-21",NA,NA,NA,NA,NA,NA,NA,NA,"Y",7.733333,NA,NA,69,NA,NA,4.0666666,NA,NA,256.66666,NA,NA
"2","2015-04-22",NA,NA,NA,NA,NA,NA,NA,NA,"Y",6.233333,7.733333,NA,75,69,NA,4.1666665,4.0666666,NA,286.66666,256.66666,NA
"3","2015-04-23",NA,NA,NA,NA,NA,NA,NA,NA,"Y",4.733333,6.233333,7.733333,84.333336,75,69,2.1,4.1666665,4.0666666,173.33333,286.66666,256.66666
"4","2015-04-24",NA,NA,NA,NA,NA,NA,NA,NA,"Y",7.4666667,4.733333,6.233333,82.333336,84.333336,75,3.3,2.1,4.1666665,173.33333,173.33333,286.66666
"5","2015-04-25",NA,NA,NA,NA,NA,NA,NA,NA,"N",11.266666,7.4666667,4.733333,67.666664,82.333336,84.333336,4.766667,3.3,2.1,170,173.33333,173.33333
"6","2015-04-26",NA,NA,NA,NA,NA,NA,NA,NA,"N",15.033334,11.266666,7.4666667,71,67.666664,82.333336,2.9,4.766667,3.3,253.33333,170,173.33333
"7","2015-04-27",NA,NA,NA,NA,NA,NA,NA,NA,"Y",14.066667,15.033334,11.266666,78,71,67.666664,4.8,2.9,4.766667,136.66667,253.33333,170
"8","2015-04-28",NA,NA,NA,NA,NA,NA,NA,NA,"Y",6.7,14.066667,15.033334,88,78,71,3.6666667,4.8,2.9,316.66666,136.66667,253.33333
"9","2015-04-29",NA,NA,NA,NA,NA,NA,NA,NA,"Y",5.9,6.7,14.066667,82,88,78,2.6,3.6666667,4.8,223.33333,316.66666,136.66667
"10","2015-04-30",NA,NA,NA,NA,NA,NA,NA,NA,"Y",8.933333,5.9,6.7,62.333332,82,88,6.233333,2.6,3.6666667,153.33333,223.33333,316.66666
"11","2015-05-01",NA,NA,NA,NA,NA,NA,NA,NA,"Y",7.9333334,8.933333,5.9,88.666664,62.333332,82,2.7333333,6.233333,2.6,273.33334,153.33333,223.33333
"12","2015-05-02",NA,NA,NA,NA,NA,NA,NA,NA,"N",6.6,7.9333334,8.933333,82.333336,88.666664,62.333332,1.6333333,2.7333333,6.233333,266.66666,273.33334,153.33333
"13","2015-05-03",NA,NA,NA,NA,NA,NA,NA,NA,"N",9.266666,6.6,7.9333334,67.333336,82.333336,88.666664,4.633333,1.6333333,2.7333333,140,266.66666,273.33334
"14","2015-05-04",NA,NA,NA,NA,NA,NA,NA,NA,"Y",15.766666,9.266666,6.6,84.333336,67.333336,82.333336,3.3666666,4.633333,1.6333333,233.33333,140,266.66666
"15","2015-05-05",NA,NA,NA,NA,NA,NA,NA,NA,"Y",17.4,15.766666,9.266666,78,84.333336,67.333336,6.2,3.3666666,4.633333,146.66667,233.33333,140
"16","2015-05-06",NA,NA,NA,NA,NA,NA,NA,NA,"Y",15.1,17.4,15.766666,76.333336,78,84.333336,1.2666667,6.2,3.3666666,163.33333,146.66667,233.33333
"17","2015-05-07",NA,NA,NA,NA,NA,NA,NA,NA,"Y",13,15.1,17.4,64.333336,76.333336,78,4.0333333,1.2666667,6.2,220,163.33333,146.66667
"18","2015-05-08",NA,NA,NA,NA,NA,NA,NA,NA,"Y",10.5,13,15.1,74,64.333336,76.333336,3,4.0333333,1.2666667,150,220,163.33333
"19","2015-05-09",NA,NA,NA,NA,NA,NA,NA,NA,"N",13.066667,10.5,13,89.666664,74,64.333336,3.5333333,3,4.0333333,180,150,220
"20","2015-05-10",NA,NA,NA,NA,NA,NA,NA,NA,"N",13.366667,13.066667,10.5,70.666664,89.666664,74,5.9,3.5333333,3,263.33334,180,150
"21","2015-05-11",NA,NA,NA,NA,NA,NA,NA,NA,"Y",8.766666,13.366667,13.066667,77.666664,70.666664,89.666664,2.9,5.9,3.5333333,160,263.33334,180
"22","2015-05-12",NA,NA,NA,NA,NA,NA,NA,NA,"Y",14.633333,8.766666,13.366667,52,77.666664,70.666664,5.1666665,2.9,5.9,160,160,263.33334
"23","2015-05-13",NA,NA,NA,NA,NA,NA,NA,NA,"Y",12.433333,14.633333,8.766666,79.666664,52,77.666664,1.9333333,5.1666665,2.9,263.33334,160,160
"24","2015-05-14",NA,NA,NA,NA,NA,NA,NA,NA,"Y",9.733334,12.433333,14.633333,77.666664,79.666664,52,3.3666666,1.9333333,5.1666665,323.33334,263.33334,160
