Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16; 00:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 01:00; ; 4; 29; 5; 14; 0.00; 0.0
01-10-16; 01:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 02:00; ; 2; 20; 13; 14; 0.00; 0.0
01-10-16; 02:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 03:00; ; 2; 25; 4; 14; 0.00; 0.0
01-10-16; 03:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 04:00; ; 2; 22; 5; 14; 0.00; 0.0
01-10-16; 04:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 05:00; ; 6; 21; 5; 14; 0.00; 0.0
01-10-16; 05:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 06:00; ; 4; 20; 8; 14; 0.00; 0.0
01-10-16; 06:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 07:00; ; 11; 26; 2; 14; 0.00; 0.0
01-10-16; 07:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 08:00; ; 30; 25; 2; 14; 0.00; 0.0
01-10-16; 08:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 09:00; ; 40; 32; 8; 14; 0.00; 0.0
01-10-16; 09:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 10:00; ; 6; 19; 42; 14; 0.00; 0.0
01-10-16; 10:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 11:00; ; 4; 14; 68; 14; 0.00; 0.0
01-10-16; 11:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 12:00; ; 2; 12; 91; 14; 0.00; 0.0
01-10-16; 12:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 13:00; ; 3; 10; 91; 14; 0.00; 0.0
01-10-16; 13:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 14:00; ; 3; 11; 89; 14; 0.00; 0.0
01-10-16; 14:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 15:00; ; 1; 18; 79; 14; 0.00; 0.0
01-10-16; 15:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 16:00; ; 1; 19; 72; 14; 0.00; 0.0
01-10-16; 16:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 17:00; ; 4; 29; 42; 14; 0.00; 0.0
01-10-16; 17:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 18:00; ; 5; 41; 22; 14; 0.00; 0.0
01-10-16; 18:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 19:00; ; 5; 46; 14; 14; 0.00; 0.0
01-10-16; 19:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 20:00; ; 2; 25; 43; 14; 0.00; 0.0
01-10-16; 20:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 21:00; ; 1; 12; 63; 14; 0.00; 0.0
01-10-16; 21:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 22:00; ; 1; 12; 61; 14; 0.00; 0.0
01-10-16; 22:30; 0.0; 0; ; ; ; ; 0.0
01-10-16; 23:00; ; 1; 8; 67; 14; 0.00; 0.0
01-10-16; 23:30; 0.0; 0; ; ; ; ; 0.0
02-10-16; 00:00; ; 1; 8; 60; 14; 0.00; 0.0
02-10-16; 00:30; 0.0; 0; ; ; ; ; 0.0
02-10-16; 01:00; ; 1; 8; 53; 5; 0.00; 0.0
02-10-16; 01:30; 0.0; 0; ; ; ; ; 0.0
02-10-16; 02:00; ; 1; 5; 55; 5; 0.00; 0.0
02-10-16; 02:30; 0.0; 0; ; ; ; ; 0.0
02-10-16; 03:00; ; 1; 5; 53; 5; 0.00; 0.0
02-10-16; 03:30; 0.0; 0; ; ; ; ; 0.0
02-10-16; 04:00; ; 1; 5; 54; 5; 0.00; 0.0
02-10-16; 04:30; 0.0; 0; ; ; ; ; 0.0
02-10-16; 05:00; ; 1; 5; 54; 5; 0.00; 0.0
02-10-16; 05:30; 0.0; 0; ; ; ; ; 0.0
