Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
2016-10-01; 01:00; ; ; ; 33; 11; ; 
2016-10-01; 02:00; ; ; ; 34; 10; ; 
2016-10-01; 03:00; ; ; ; 35; 11; ; 
2016-10-01; 04:00; ; ; ; 44; 13; ; 
2016-10-01; 05:00; ; ; ; 43; 15; ; 
2016-10-01; 06:00; ; ; ; 49; 14; ; 
2016-10-01; 07:00; ; ; ; 56; 16; ; 
2016-10-01; 08:00; ; ; ; 62; 16; ; 
2016-10-01; 09:00; ; ; ; 71; 15; ; 
2016-10-01; 10:00; ; ; ; 82; 15; ; 
2016-10-01; 11:00; ; ; ; 86; 12; ; 
2016-10-01; 12:00; ; ; ; 94; 11; ; 
2016-10-01; 13:00; ; ; ; 97; 13; ; 
2016-10-01; 14:00; ; ; ; 96; 10; ; 
2016-10-01; 15:00; ; ; ; 91; 11; ; 
2016-10-01; 16:00; ; ; ; 96; 11; ; 
2016-10-01; 17:00; ; ; ; 90; 10; ; 
2016-10-01; 18:00; ; ; ; 91; 11; ; 
2016-10-01; 19:00; ; ; ; 87; 8; ; 
2016-10-01; 20:00; ; ; ; 83; 6; ; 
2016-10-01; 21:00; ; ; ; 82; 3; ; 
2016-10-01; 22:00; ; ; ; 74; 3; ; 
2016-10-01; 23:00; ; ; ; 68; 4; ; 
2016-10-02; 00:00; ; ; ; 64; 3; ; 
2016-10-02; 01:00; ; ; ; 61; 3; ; 
2016-10-02; 02:00; ; ; ; 62; 3; ; 
2016-10-02; 03:00; ; ; ; 63; 4; ; 
2016-10-02; 04:00; ; ; ; 60; 4; ; 
2016-10-02; 05:00; ; ; ; 54; 4; ; 
2016-10-02; 06:00; ; ; ; 57; 4; ; 
2016-10-02; 07:00; ; ; ; 58; 3; ; 
2016-10-02; 08:00; ; ; ; 57; 5; ; 
2016-10-02; 09:00; ; ; ; 60; 4; ; 
2016-10-02; 10:00; ; ; ; 66; 4; ; 
2016-10-02; 11:00; ; ; ; 67; 4; ; 
2016-10-02; 12:00; ; ; ; 66; 4; ; 
2016-10-02; 13:00; ; ; ; 69; 2; ; 
2016-10-02; 14:00; ; ; ; 68; 1; ; 
2016-10-02; 15:00; ; ; ; 62; 0; ; 
2016-10-02; 16:00; ; ; ; 66; 1; ; 
2016-10-02; 17:00; ; ; ; 62; 0; ; 
2016-10-02; 18:00; ; ; ; 57; 1; ; 
2016-10-02; 19:00; ; ; ; 50; 4; ; 
2016-10-02; 20:00; ; ; ; 52; 5; ; 
2016-10-02; 21:00; ; ; ; 50; 5; ; 
2016-10-02; 22:00; ; ; ; 49; 4; ; 
2016-10-02; 23:00; ; ; ; 45; 5; ; 
2016-10-03; 00:00; ; ; ; 46; 4; ; 
2016-10-03; 01:00; ; ; ; 52; 5; ; 
2016-10-03; 02:00; ; ; ; 50; 3; ; 
2016-10-03; 03:00; ; ; ; 48; 2; ; 
2016-10-03; 04:00; ; ; ; 48; 3; ; 
2016-10-03; 05:00; ; ; ; 45; 2; ; 
2016-10-03; 06:00; ; ; ; 45; 1; ; 
2016-10-03; 07:00; ; ; ; 47; 1; ; 
2016-10-03; 08:00; ; ; ; 49; 2; ; 
2016-10-03; 09:00; ; ; ; 50; 1; ; 
2016-10-03; 10:00; ; ; ; 56; 2; ; 
2016-10-03; 11:00; ; ; ; 54; 2; ; 
2016-10-03; 12:00; ; ; ; 56; 1; ; 
2016-10-03; 13:00; ; ; ; 59; 2; ; 
2016-10-03; 14:00; ; ; ; 59; 2; ; 
2016-10-03; 15:00; ; ; ; 57; 1; ; 
2016-10-03; 16:00; ; ; ; 55; 3; ; 
2016-10-03; 17:00; ; ; ; 52; 1; ; 
2016-10-03; 18:00; ; ; ; 50; 2; ; 
2016-10-03; 19:00; ; ; ; 54; 2; ; 
2016-10-03; 20:00; ; ; ; 51; 3; ; 
2016-10-03; 21:00; ; ; ; 54; 2; ; 
2016-10-03; 22:00; ; ; ; 57; 6; ; 
2016-10-03; 23:00; ; ; ; 57; 7; ; 
2016-10-04; 00:00; ; ; ; 57; 7; ; 
2016-10-04; 01:00; ; ; ; 57; 7; ; 
2016-10-04; 02:00; ; ; ; 60; 7; ; 
2016-10-04; 03:00; ; ; ; 72; 5; ; 
2016-10-04; 04:00; ; ; ; 68; 3; ; 
2016-10-04; 05:00; ; ; ; 56; 1; ; 
2016-10-04; 06:00; ; ; ; 47; 1; ; 
2016-10-04; 07:00; ; ; ; 51; 0; ; 
2016-10-04; 08:00; ; ; ; 51; 1; ; 
2016-10-04; 09:00; ; ; ; 61; 0; ; 
2016-10-04; 10:00; ; ; ; 55; 0; ; 
2016-10-04; 11:00; ; ; ; 62; 2; ; 
2016-10-04; 12:00; ; ; ; 59; 2; ; 
2016-10-04; 13:00; ; ; ; 57; 2; ; 
2016-10-04; 14:00; ; ; ; 54; 6; ; 
2016-10-04; 15:00; ; ; ; 54; 5; ; 
2016-10-04; 16:00; ; ; ; 56; 6; ; 
2016-10-04; 17:00; ; ; ; 57; 5; ; 
2016-10-04; 18:00; ; ; ; 56; 6; ; 
2016-10-04; 19:00; ; ; ; 49; 6; ; 
2016-10-04; 20:00; ; ; ; 48; 5; ; 
2016-10-04; 21:00; ; ; ; 51; 3; ; 
2016-10-04; 22:00; ; ; ; 49; 7; ; 
2016-10-04; 23:00; ; ; ; 48; 6; ; 
2016-10-05; 00:00; ; ; ; 49; 6; ; 
2016-10-05; 01:00; ; ; ; 51; 6; ; 
2016-10-05; 02:00; ; ; ; 54; 4; ; 
2016-10-05; 03:00; ; ; ; 52; 3; ; 
2016-10-05; 04:00; ; ; ; 55; 4; ; 
2016-10-05; 05:00; ; ; ; 56; 4; ; 
2016-10-05; 06:00; ; ; ; 56; 7; ; 
2016-10-05; 07:00; ; ; ; 55; 5; ; 
2016-10-05; 08:00; ; ; ; 53; 4; ; 
2016-10-05; 09:00; ; ; ; 48; 3; ; 
2016-10-05; 10:00; ; ; ; 43; 2; ; 
2016-10-05; 11:00; ; ; ; 44; 1; ; 
2016-10-05; 12:00; ; ; ; 44; 5; ; 
2016-10-05; 13:00; ; ; ; 47; 4; ; 
2016-10-05; 14:00; ; ; ; 49; 2; ; 
2016-10-05; 15:00; ; ; ; 49; 3; ; 
2016-10-05; 16:00; ; ; ; 46; 3; ; 
2016-10-05; 17:00; ; ; ; 51; 4; ; 
2016-10-05; 18:00; ; ; ; 54; 2; ; 
2016-10-05; 19:00; ; ; ; 57; 0; ; 
2016-10-05; 20:00; ; ; ; 60; 0; ; 
2016-10-05; 21:00; ; ; ; 60; 0; ; 
2016-10-05; 22:00; ; ; ; 59; 0; ; 
2016-10-05; 23:00; ; ; ; 55; 0; ; 
2016-10-06; 00:00; ; ; ; 55; 0; ; 
2016-10-06; 01:00; ; ; ; 55; 0; ; 
2016-10-06; 02:00; ; ; ; 55; 0; ; 
2016-10-06; 03:00; ; ; ; 53; 1; ; 
2016-10-06; 04:00; ; ; ; 52; 1; ; 
2016-10-06; 05:00; ; ; ; 51; 1; ; 
2016-10-06; 06:00; ; ; ; 50; 1; ; 
2016-10-06; 07:00; ; ; ; 46; 1; ; 
2016-10-06; 08:00; ; ; ; 43; 0; ; 
2016-10-06; 09:00; ; ; ; 40; 0; ; 
2016-10-06; 10:00; ; ; ; 39; 2; ; 
2016-10-06; 11:00; ; ; ; 36; 1; ; 
2016-10-06; 12:00; ; ; ; 38; 0; ; 
2016-10-06; 13:00; ; ; ; 42; 0; ; 
2016-10-06; 14:00; ; ; ; 41; 1; ; 
2016-10-06; 15:00; ; ; ; 39; 1; ; 
2016-10-06; 16:00; ; ; ; 40; 1; ; 
2016-10-06; 17:00; ; ; ; 41; 0; ; 
2016-10-06; 18:00; ; ; ; 38; 1; ; 
2016-10-06; 19:00; ; ; ; 39; 0; ; 
2016-10-06; 20:00; ; ; ; 41; 1; ; 
2016-10-06; 21:00; ; ; ; 39; 1; ; 
2016-10-06; 22:00; ; ; ; 39; 1; ; 
2016-10-06; 23:00; ; ; ; 36; 2; ; 
2016-10-07; 00:00; ; ; ; 29; 1; ; 
2016-10-07; 01:00; ; ; ; 25; 1; ; 
2016-10-07; 02:00; ; ; ; 22; 1; ; 
2016-10-07; 03:00; ; ; ; 21; 0; ; 
2016-10-07; 04:00; ; ; ; 20; 0; ; 
2016-10-07; 05:00; ; ; ; 20; 1; ; 
2016-10-07; 06:00; ; ; ; 19; 1; ; 
2016-10-07; 07:00; ; ; ; 16; 1; ; 
2016-10-07; 08:00; ; ; ; 15; 0; ; 
2016-10-07; 09:00; ; ; ; 16; 1; ; 
2016-10-07; 10:00; ; ; ; 17; 4; ; 
2016-10-07; 11:00; ; ; ; 19; 2; ; 
2016-10-07; 12:00; ; ; ; 18; 2; ; 
2016-10-07; 13:00; ; ; ; 18; 1; ; 
2016-10-07; 14:00; ; ; ; 17; 4; ; 
2016-10-07; 15:00; ; ; ; 16; 4; ; 
2016-10-07; 16:00; ; ; ; 18; 3; ; 
2016-10-07; 17:00; ; ; ; 18; 4; ; 
2016-10-07; 18:00; ; ; ; 19; 4; ; 
2016-10-07; 19:00; ; ; ; 16; 5; ; 
2016-10-07; 20:00; ; ; ; 18; 4; ; 
2016-10-07; 21:00; ; ; ; 21; 7; ; 
2016-10-07; 22:00; ; ; ; 21; 7; ; 
2016-10-07; 23:00; ; ; ; 22; 9; ; 
2016-10-08; 00:00; ; ; ; 24; 2; ; 
2016-10-08; 01:00; ; ; ; 24; 4; ; 
2016-10-08; 02:00; ; ; ; 23; 6; ; 
2016-10-08; 03:00; ; ; ; 24; 3; ; 
2016-10-08; 04:00; ; ; ; 38; 2; ; 
2016-10-08; 05:00; ; ; ; 54; 4; ; 
2016-10-08; 06:00; ; ; ; 54; 6; ; 
2016-10-08; 07:00; ; ; ; 56; 4; ; 
2016-10-08; 08:00; ; ; ; 57; 3; ; 
2016-10-08; 09:00; ; ; ; 58; 3; ; 
2016-10-08; 10:00; ; ; ; 59; 3; ; 
2016-10-08; 11:00; ; ; ; 60; 3; ; 
2016-10-08; 12:00; ; ; ; 59; 0; ; 
2016-10-08; 13:00; ; ; ; 58; 0; ; 
2016-10-08; 14:00; ; ; ; 60; 1; ; 
2016-10-08; 15:00; ; ; ; 57; 1; ; 
2016-10-08; 16:00; ; ; ; 54; 2; ; 
2016-10-08; 17:00; ; ; ; 52; 3; ; 
2016-10-08; 18:00; ; ; ; 48; 1; ; 
2016-10-08; 19:00; ; ; ; 52; 2; ; 
2016-10-08; 20:00; ; ; ; 55; 2; ; 
2016-10-08; 21:00; ; ; ; 56; 2; ; 
2016-10-08; 22:00; ; ; ; 55; 1; ; 
2016-10-08; 23:00; ; ; ; 51; 1; ; 
2016-10-09; 00:00; ; ; ; 48; 0; ; 
2016-10-09; 01:00; ; ; ; 47; 1; ; 
2016-10-09; 02:00; ; ; ; 45; 1; ; 
2016-10-09; 03:00; ; ; ; 48; 0; ; 
2016-10-09; 04:00; ; ; ; 44; 1; ; 
2016-10-09; 05:00; ; ; ; 46; 5; ; 
2016-10-09; 06:00; ; ; ; 53; 4; ; 
2016-10-09; 07:00; ; ; ; 51; 3; ; 
2016-10-09; 08:00; ; ; ; 52; 4; ; 
2016-10-09; 09:00; ; ; ; 53; ; ; 
2016-10-09; 10:00; ; ; ; 52; 0; ; 
2016-10-09; 11:00; ; ; ; 56; 0; ; 
2016-10-09; 12:00; ; ; ; 56; 4; ; 
2016-10-09; 13:00; ; ; ; 58; 4; ; 
2016-10-09; 14:00; ; ; ; 58; 2; ; 
2016-10-09; 15:00; ; ; ; 58; 2; ; 
2016-10-09; 16:00; ; ; ; 59; 4; ; 
2016-10-09; 17:00; ; ; ; 47; 3; ; 
2016-10-09; 18:00; ; ; ; 33; 2; ; 
2016-10-09; 19:00; ; ; ; 24; 3; ; 
2016-10-09; 20:00; ; ; ; 14; 5; ; 
2016-10-09; 21:00; ; ; ; 15; 1; ; 
2016-10-09; 22:00; ; ; ; 15; 2; ; 
2016-10-09; 23:00; ; ; ; 18; 5; ; 
2016-10-10; 00:00; ; ; ; 15; 1; ; 
2016-10-10; 01:00; ; ; ; 22; 1; ; 
2016-10-10; 02:00; ; ; ; 21; 5; ; 
2016-10-10; 03:00; ; ; ; 22; 5; ; 
2016-10-10; 04:00; ; ; ; 29; 1; ; 
2016-10-10; 05:00; ; ; ; 23; 1; ; 
2016-10-10; 06:00; ; ; ; 19; 4; ; 
2016-10-10; 07:00; ; ; ; 25; 0; ; 
2016-10-10; 08:00; ; ; ; 18; 0; ; 
2016-10-10; 09:00; ; ; ; 45; 2; ; 
2016-10-10; 10:00; ; ; ; 57; 4; ; 
2016-10-10; 11:00; ; ; ; 51; 2; ; 
2016-10-10; 12:00; ; ; ; 59; 8; ; 
2016-10-10; 13:00; ; ; ; 58; 4; ; 
2016-10-10; 14:00; ; ; ; 55; 5; ; 
2016-10-10; 15:00; ; ; ; 57; 2; ; 
2016-10-10; 16:00; ; ; ; 56; 2; ; 
2016-10-10; 17:00; ; ; ; 35; 0; ; 
2016-10-10; 18:00; ; ; ; 31; 1; ; 
2016-10-10; 19:00; ; ; ; 13; ; ; 
2016-10-10; 20:00; ; ; ; 12; ; ; 
2016-10-10; 21:00; ; ; ; 32; 7; ; 
2016-10-10; 22:00; ; ; ; 31; 6; ; 
2016-10-10; 23:00; ; ; ; 18; 8; ; 
