Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16; 00:30; ; 0; 0; 0; ; 10.13; 
01-10-16; 01:00; ; 15; 40; ; 19; ; 
01-10-16; 01:30; ; 0; 0; 0; ; ; 
01-10-16; 02:00; ; 12; 30; ; 19; ; 
01-10-16; 02:30; ; 0; 0; 0; ; ; 
01-10-16; 03:00; ; 6; 22; ; 19; ; 
01-10-16; 03:30; ; 0; 0; 0; ; ; 
01-10-16; 04:00; ; 6; 18; ; 19; ; 
01-10-16; 04:30; ; 0; 0; 0; ; ; 
01-10-16; 05:00; ; 19; 19; ; 19; ; 
01-10-16; 05:30; ; 0; 0; 0; ; ; 
01-10-16; 06:00; ; 24; 25; ; 19; ; 
01-10-16; 06:30; ; 0; 0; 0; ; ; 
01-10-16; 07:00; ; 32; 31; ; 19; ; 
01-10-16; 07:30; ; 0; 0; 0; ; ; 
01-10-16; 08:00; ; 19; 22; ; 19; ; 
01-10-16; 08:30; ; 0; 0; 0; ; ; 
01-10-16; 09:00; ; 44; 35; ; 19; ; 
01-10-16; 09:30; ; 0; 0; 0; ; ; 
01-10-16; 10:00; ; 61; 54; ; 19; ; 
01-10-16; 10:30; ; 0; 0; 0; ; ; 
01-10-16; 11:00; ; 71; 67; ; 19; ; 
01-10-16; 11:30; ; 0; 0; 0; ; ; 
01-10-16; 12:00; ; 50; 74; ; 19; ; 
01-10-16; 12:30; ; 0; 0; 0; ; ; 
01-10-16; 13:00; ; 51; 59; ; 19; ; 
01-10-16; 13:30; ; 0; 0; 0; ; ; 
01-10-16; 14:00; ; 67; 80; ; 19; ; 
01-10-16; 14:30; ; 0; 0; 0; ; ; 
01-10-16; 15:00; ; 61; 86; ; 19; ; 
01-10-16; 15:30; ; 0; 0; 0; ; ; 
01-10-16; 16:00; ; 66; 80; ; 19; ; 
01-10-16; 16:30; ; 0; 0; 0; ; ; 
01-10-16; 17:00; ; 41; 52; ; 19; ; 
01-10-16; 17:30; ; 0; 0; 0; ; ; 
01-10-16; 18:00; ; 53; 56; ; 19; ; 
01-10-16; 18:30; ; 0; 0; 0; ; ; 
01-10-16; 19:00; ; 51; 59; ; 19; ; 
01-10-16; 19:30; ; 0; 0; 0; ; ; 
01-10-16; 20:00; ; 27; 48; ; 19; ; 
01-10-16; 20:30; ; 0; 0; 0; ; ; 
01-10-16; 21:00; ; 21; 43; ; 19; ; 
01-10-16; 21:30; ; 0; 0; 0; ; ; 
01-10-16; 22:00; ; 13; 35; ; 19; ; 
01-10-16; 22:30; ; 0; 0; 0; ; ; 
01-10-16; 23:00; ; 10; 27; ; 19; ; 
01-10-16; 23:30; ; 0; 0; 0; ; ; 
02-10-16; 00:00; ; 9; 19; ; 19; ; 
02-10-16; 00:30; ; 0; 0; 0; ; 4.41; 
02-10-16; 01:00; ; 5; 15; ; 9; ; 
02-10-16; 01:30; ; 0; 0; 0; ; ; 
02-10-16; 02:00; ; 4; 11; ; 9; ; 
02-10-16; 02:30; ; 0; 0; 0; ; ; 
02-10-16; 03:00; ; 5; 14; ; 9; ; 
02-10-16; 03:30; ; 0; 0; 0; ; ; 
02-10-16; 04:00; ; 4; 9; ; 9; ; 
02-10-16; 04:30; ; 0; 0; 0; ; ; 
02-10-16; 05:00; ; 5; 12; ; 9; ; 
02-10-16; 05:30; ; 0; 0; 0; ; ; 
02-10-16; 06:00; ; 10; 22; ; 9; ; 
02-10-16; 06:30; ; 0; 0; 0; ; ; 
02-10-16; 07:00; ; 11; 18; ; 9; ; 
02-10-16; 07:30; ; 0; 0; 0; ; ; 
02-10-16; 08:00; ; 21; 28; ; 9; ; 
02-10-16; 08:30; ; 0; 0; 0; ; ; 
02-10-16; 09:00; ; 24; 31; ; 9; ; 
02-10-16; 09:30; ; 0; 0; 0; ; ; 
02-10-16; 10:00; ; 22; 32; ; 9; ; 
02-10-16; 10:30; ; 0; 0; 0; ; ; 
02-10-16; 11:00; ; 25; 22; ; 9; ; 
02-10-16; 11:30; ; 0; 0; 0; ; ; 
02-10-16; 12:00; ; 23; 18; ; 9; ; 
02-10-16; 12:30; ; 0; 0; 0; ; ; 
02-10-16; 13:00; ; 30; 24; ; 9; ; 
02-10-16; 13:30; ; 0; 0; 0; ; ; 
02-10-16; 14:00; ; 47; 41; ; 9; ; 
02-10-16; 14:30; ; 0; 0; 0; ; ; 
02-10-16; 15:00; ; 44; 44; ; 9; ; 
02-10-16; 15:30; ; 0; 0; 0; ; ; 
02-10-16; 16:00; ; 39; 40; ; 9; ; 
02-10-16; 16:30; ; 0; 0; 0; ; ; 
02-10-16; 17:00; ; 59; 50; ; 9; ; 
02-10-16; 17:30; ; 0; 0; 0; ; ; 
02-10-16; 18:00; ; 43; 45; ; 9; ; 
02-10-16; 18:30; ; 0; 0; 0; ; ; 
02-10-16; 19:00; ; 42; 49; ; 9; ; 
02-10-16; 19:30; ; 0; 0; 0; ; ; 
02-10-16; 20:00; ; 40; 53; ; 9; ; 
02-10-16; 20:30; ; 0; 0; 0; ; ; 
02-10-16; 21:00; ; 42; 48; ; 9; ; 
02-10-16; 21:30; ; 0; 0; 0; ; ; 
02-10-16; 22:00; ; 40; 53; ; 9; ; 
02-10-16; 22:30; ; 0; 0; 0; ; ; 
02-10-16; 23:00; ; 31; 41; ; 9; ; 
02-10-16; 23:30; ; 0; 0; 0; ; ; 
03-10-16; 00:00; ; 19; 31; ; 9; ; 
03-10-16; 00:30; ; 0; 0; 0; ; 5.34; 
03-10-16; 01:00; ; 15; 23; ; 8; ; 
03-10-16; 01:30; ; 0; 0; 0; ; ; 
03-10-16; 02:00; ; 9; 19; ; 8; ; 
03-10-16; 02:30; ; 0; 0; 0; ; ; 
03-10-16; 03:00; ; 5; 15; ; 8; ; 
03-10-16; 03:30; ; 0; 0; 0; ; ; 
03-10-16; 04:00; ; 8; 14; ; 8; ; 
