Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
2016-10-01; 01:00; ; 2; 40; 5; 13; 0.00; 0.0
2016-10-01; 02:00; ; 7; 38; 2; 13; 0.00; 0.0
2016-10-01; 03:00; ; 2; 28; 4; 13; 0.00; 0.0
2016-10-01; 04:00; ; 1; 23; 6; 13; 0.00; 0.0
2016-10-01; 05:00; ; 2; 23; 3; 13; 0.00; 0.0
2016-10-01; 06:00; ; 1; 18; 3; 13; 0.00; 0.0
2016-10-01; 07:00; ; 4; 18; 3; 13; 0.00; 0.0
2016-10-01; 08:00; ; 3; 14; 10; 13; 0.00; 0.0
2016-10-01; 09:00; ; 3; 13; 17; 13; 0.00; 0.0
2016-10-01; 10:00; ; 3; 16; 19; 13; 0.00; 0.0
2016-10-01; 11:00; ; 4; 16; 27; 13; 0.00; 0.0
2016-10-01; 12:00; ; 2; 14; 43; 13; 0.00; 0.0
2016-10-01; 13:00; ; 1; 13; 77; 13; 0.00; 0.0
2016-10-01; 14:00; ; 1; 8; 91; 13; 0.00; 0.0
2016-10-01; 15:00; ; 1; 11; 82; 13; 0.00; 0.0
2016-10-01; 16:00; ; 1; 18; 70; 13; 0.00; 0.0
2016-10-01; 17:00; ; 1; 30; 46; 13; 0.00; 0.0
2016-10-01; 18:00; ; 1; 30; 31; 13; 0.00; 0.0
2016-10-01; 19:00; ; 1; 31; 26; 13; 0.00; 0.0
2016-10-01; 20:00; ; 1; 31; 26; 13; 0.00; 0.0
2016-10-01; 21:00; ; 1; 34; 21; 13; 0.00; 0.0
2016-10-01; 22:00; ; 1; 6; 65; 13; 0.00; 0.0
2016-10-01; 23:00; ; 1; 5; 64; 13; 0.00; 0.0
2016-10-02; 00:00; ; 1; 6; 63; 13; 0.00; 0.0
2016-10-02; 01:00; ; 1; 5; 61; 5; 0.00; 0.0
2016-10-02; 02:00; ; 1; 5; 56; 5; 0.00; 0.0
2016-10-02; 03:00; ; 1; 5; 53; 5; 0.00; 0.0
2016-10-02; 04:00; ; 1; 8; 45; 5; 0.00; 0.0
2016-10-02; 05:00; ; 1; 7; 44; 5; 0.00; 0.0
2016-10-02; 06:00; ; 1; 9; 44; 5; 0.00; 0.0
2016-10-02; 07:00; ; 1; 8; 46; 5; 0.00; 0.0
2016-10-02; 08:00; ; 1; 6; 45; 5; 0.00; 0.0
2016-10-02; 09:00; ; 1; 5; 52; 5; 0.00; 0.0
2016-10-02; 10:00; ; 1; 5; 55; 5; 0.00; 0.0
2016-10-02; 11:00; ; 1; 3; 64; 5; 0.00; 0.0
2016-10-02; 12:00; ; 1; 3; 71; 5; 0.00; 0.0
2016-10-02; 13:00; ; 1; 4; 70; 5; 0.00; 0.0
2016-10-02; 14:00; ; 1; 9; 56; 5; 0.00; 0.0
2016-10-02; 15:00; ; 1; 14; 49; 5; 0.00; 0.0
2016-10-02; 16:00; ; 1; 20; 39; 5; 0.00; 0.0
2016-10-02; 17:00; ; 1; 23; 27; 5; 0.00; 0.0
2016-10-02; 18:00; ; 1; 17; 40; 5; 0.00; 0.0
2016-10-02; 19:00; ; 1; 23; 31; 5; 0.00; 0.0
2016-10-02; 20:00; ; 1; 19; 28; 5; 0.00; 0.0
2016-10-02; 21:00; ; 1; 22; 19; 5; 0.00; 0.0
2016-10-02; 22:00; ; 1; 7; 40; 5; 0.00; 0.0
2016-10-02; 23:00; ; 1; 5; 40; 5; 0.00; 0.0
2016-10-03; 00:00; ; 1; 6; 37; 5; 0.00; 0.0
2016-10-03; 01:00; ; 1; 8; 30; 7; 0.00; 0.0
2016-10-03; 02:00; ; 1; 9; 17; 7; 0.00; 0.0
2016-10-03; 03:00; ; 1; 11; 15; 7; 0.00; 0.0
2016-10-03; 04:00; ; 1; 9; 12; 7; 0.00; 0.0
2016-10-03; 05:00; ; 1; 12; 8; 7; 0.00; 0.0
2016-10-03; 06:00; ; 1; 11; 13; 7; 0.00; 0.0
2016-10-03; 07:00; ; 1; 13; 13; 7; 0.00; 0.0
2016-10-03; 08:00; ; 1; 12; 15; 7; 0.00; 0.0
2016-10-03; 09:00; ; 3; 13; 12; 7; 0.00; 0.0
2016-10-03; 10:00; ; 4; 14; 12; 7; 0.00; 0.0
2016-10-03; 11:00; ; 5; 16; 11; 7; 0.00; 0.0
2016-10-03; 12:00; ; 4; 16; 14; 7; 0.00; 0.0
2016-10-03; 13:00; ; 3; 17; 22; 7; 0.00; 0.0
2016-10-03; 14:00; ; 2; 11; 34; 7; 0.00; 0.0
2016-10-03; 15:00; ; 1; 11; 32; 7; 0.00; 0.0
2016-10-03; 16:00; ; 1; 14; 30; 7; 0.00; 0.0
2016-10-03; 17:00; ; 1; 15; 28; 7; 0.00; 0.0
2016-10-03; 18:00; ; 1; 21; 16; 7; 0.00; 0.0
2016-10-03; 19:00; ; 1; 21; 16; 7; 0.00; 0.0
2016-10-03; 20:00; ; 1; 17; 20; 7; 0.00; 0.0
2016-10-03; 21:00; ; 1; 18; 18; 7; 0.00; 0.0
2016-10-03; 22:00; ; 1; 16; 20; 7; 0.00; 0.0
2016-10-03; 23:00; ; 1; 17; 17; 7; 0.00; 0.0
2016-10-04; 00:00; ; 1; 16; 23; 7; 0.00; 0.0
2016-10-04; 01:00; ; 1; 11; 39; ; 0.00; 0.0
2016-10-04; 02:00; ; 1; 9; 42; ; 0.00; 0.0
2016-10-04; 03:00; ; 1; 10; 37; ; 0.00; 0.0
2016-10-04; 04:00; ; 1; 11; 33; ; 0.00; 0.0
2016-10-04; 05:00; ; 1; 12; 36; ; 0.00; 0.0
2016-10-04; 06:00; ; 1; 17; 35; ; 0.00; 0.0
2016-10-04; 07:00; ; 4; 20; 36; ; 0.00; 0.0
2016-10-04; 08:00; ; 1; 21; 38; ; 0.00; 0.0
2016-10-04; 09:00; ; 1; 21; 37; ; 0.00; 0.0
2016-10-04; 10:00; ; 2; 19; 37; ; 0.00; 0.0
2016-10-04; 11:00; ; 3; 14; 43; ; 0.00; 0.0
2016-10-04; 12:00; ; 3; 13; 46; ; 0.00; 0.0
2016-10-04; 13:00; ; 2; 10; 50; ; 0.00; 0.0
2016-10-04; 14:00; ; 2; 11; 55; ; 0.00; 0.0
2016-10-04; 15:00; ; 3; 13; 56; ; 0.00; 0.0
2016-10-04; 16:00; ; 2; 15; 56; ; 0.00; 0.0
2016-10-04; 17:00; ; 1; 16; 56; ; 0.00; 0.0
2016-10-04; 18:00; ; 1; 25; 39; ; 0.00; 0.0
2016-10-04; 19:00; ; 1; 31; 27; ; 0.00; 0.0
2016-10-04; 20:00; ; 1; 38; 15; ; 0.00; 0.0
2016-10-04; 21:00; ; 1; 31; 22; ; 0.00; 0.0
2016-10-04; 22:00; ; 1; 21; 32; ; 0.00; 0.0
2016-10-04; 23:00; ; 1; 13; 38; ; 0.00; 0.0
2016-10-05; 00:00; ; 1; 7; 53; ; 0.00; 0.0
2016-10-05; 01:00; ; 1; 6; 52; ; 0.00; 0.0
2016-10-05; 02:00; ; 1; 8; 47; ; 0.00; 0.0
2016-10-05; 03:00; ; 1; 11; 41; ; 0.00; 0.0
2016-10-05; 04:00; ; 1; 13; 36; ; 0.00; 0.0
2016-10-05; 05:00; ; 1; 15; 33; ; 0.00; 0.0
2016-10-05; 06:00; ; 1; 20; 30; ; 0.00; 0.0
2016-10-05; 07:00; ; 1; 27; 24; ; 0.00; 0.0
2016-10-05; 08:00; ; 3; 23; 25; ; 0.00; 0.0
2016-10-05; 09:00; ; 3; 21; 26; ; 0.00; 0.0
2016-10-05; 10:00; ; 2; 14; 35; ; 0.00; 0.0
2016-10-05; 11:00; ; 2; 11; 41; ; 0.00; 0.0
2016-10-05; 12:00; ; 2; 8; 45; ; 0.00; 0.0
2016-10-05; 13:00; ; 3; 10; 44; ; 0.00; 0.0
2016-10-05; 14:00; ; 3; 17; 36; ; 0.00; 0.0
2016-10-05; 15:00; ; 2; 14; 38; ; 0.00; 0.0
2016-10-05; 16:00; ; 1; 15; 40; ; 0.00; 0.0
2016-10-05; 17:00; ; 1; 23; 34; ; 0.00; 0.0
2016-10-05; 18:00; ; 1; 20; 35; ; 0.00; 0.0
2016-10-05; 19:00; ; 1; 16; 41; ; 0.00; 0.0
2016-10-05; 20:00; ; 2; 12; 43; ; 0.00; 0.0
2016-10-05; 21:00; ; 1; 10; 42; ; 0.00; 0.0
2016-10-05; 22:00; ; 1; 8; 45; ; 0.00; 0.0
2016-10-05; 23:00; ; 1; 8; 44; ; 0.00; 0.0
2016-10-06; 00:00; ; 1; 8; 44; ; 0.00; 0.0
2016-10-06; 01:00; ; 1; 6; 46; ; 0.00; 0.0
2016-10-06; 02:00; ; 1; 5; 46; ; 0.00; 0.0
2016-10-06; 03:00; ; 1; 5; 45; ; 0.00; 0.0
2016-10-06; 04:00; ; 1; 6; 42; ; 0.00; 0.0
2016-10-06; 05:00; ; 1; 7; 39; ; 0.00; 0.0
2016-10-06; 06:00; ; 1; 15; 30; ; 0.00; 0.0
2016-10-06; 07:00; ; 2; 28; 16; ; 0.00; 0.0
2016-10-06; 08:00; ; 5; 29; 11; ; 0.00; 0.0
2016-10-06; 09:00; ; 5; 28; 11; ; 0.00; 0.0
2016-10-06; 10:00; ; 7; 25; 12; ; 0.00; 0.0
2016-10-06; 11:00; ; 5; 19; 17; ; 0.00; 0.0
2016-10-06; 12:00; ; 6; 18; 17; ; 0.00; 0.0
2016-10-06; 13:00; ; 5; 19; 14; ; 0.00; 0.0
2016-10-06; 14:00; ; 4; 20; 15; ; 0.00; 0.0
2016-10-06; 15:00; ; 8; 29; 8; ; 0.00; 0.0
2016-10-06; 16:00; ; 5; 27; 14; ; 0.00; 0.0
2016-10-06; 17:00; ; 3; 24; 18; ; 0.00; 0.0
2016-10-06; 18:00; ; 2; 26; 15; ; 0.00; 0.0
2016-10-06; 19:00; ; 2; 20; 19; ; 0.00; 0.0
2016-10-06; 20:00; ; 1; 18; 15; ; 0.00; 0.0
2016-10-06; 21:00; ; 1; 15; 16; ; 0.00; 0.0
2016-10-06; 22:00; ; 1; 14; 13; ; 0.00; 0.0
2016-10-06; 23:00; ; 1; 12; 13; ; 0.00; 0.0
2016-10-07; 00:00; ; 1; 11; 11; ; 0.00; 0.0
2016-10-07; 01:00; ; 1; 12; 10; ; 0.00; 0.0
