Datum; Zeit; O3; PM10; SO2
; µg/m³; µg/m³; µg/m³
01-10-16; 01:00; 0; 11; 0,5
01-10-16; 02:00; 0; 10; 0,5
01-10-16; 03:00; 0; 11; 0,5
01-10-16; 04:00; 0; 13; 1,3
01-10-16; 05:00; 0; 15; 0,5
01-10-16; 06:00; 0; 14; 0,5
01-10-16; 07:00; 0; 16; 1,2
01-10-16; 08:00; 0; 16; 1,4
01-10-16; 09:00; 0; 15; 2,4
01-10-16; 10:00; 0; 15; 2,1
01-10-16; 11:00; 0; 12; 2,7
01-10-16; 12:00; 0; 11; 2,5
01-10-16; 13:00; 0; 13; 6,2
01-10-16; 14:00; 0; 10; 5,0
01-10-16; 15:00; 0; 11; 5,9
01-10-16; 16:00; 0; 11; 5,7
01-10-16; 17:00; 0; 10; 5,8
01-10-16; 18:00; 0; 11; 5,4
01-10-16; 19:00; 0; 8; 0,5
01-10-16; 20:00; 0; 6; 0,5
01-10-16; 21:00; 0; 3; 0,5
01-10-16; 22:00; 0; 3; 0,5
01-10-16; 23:00; 0; 4; 0,5
02-10-16; 00:00; 0; 3; 0,5
02-10-16; 01:00; 0; 3; 0,5
02-10-16; 02:00; 0; 3; 0,5
02-10-16; 03:00; 0; 4; 0,5
02-10-16; 04:00; 0; 4; 0,5
02-10-16; 05:00; 0; 4; 0,5
02-10-16; 06:00; 0; 4; 0,5
02-10-16; 07:00; 0; 3; 0,5
02-10-16; 08:00; 0; 5; 0,5
02-10-16; 09:00; 0; 4; 0,5
02-10-16; 10:00; 0; 4; 0,5
02-10-16; 11:00; 0; 4; 0,5
02-10-16; 12:00; 0; 4; 1,3
02-10-16; 13:00; 0; 2; 0,5
02-10-16; 14:00; 0; 1; 1,4
02-10-16; 15:00; 0; 0; 3,8
02-10-16; 16:00; 0; 1; 2,2
02-10-16; 17:00; 0; 0; 0,5
02-10-16; 18:00; 0; 1; 0,5
02-10-16; 19:00; 0; 4; 0,5
02-10-16; 20:00; 0; 5; 0,5
02-10-16; 21:00; 0; 5; 0,5
02-10-16; 22:00; 0; 4; 0,5
02-10-16; 23:00; 0; 5; 0,5
03-10-16; 00:00; 0; 4; 0,5
03-10-16; 01:00; 0; 5; 0,5
03-10-16; 02:00; 0; 3; 0,5
03-10-16; 03:00; 0; 2; 0,5
03-10-16; 04:00; 0; 3; 0,5
03-10-16; 05:00; 0; 2; 0,5
03-10-16; 06:00; 0; 1; 0,5
03-10-16; 07:00; 0; 1; 0,5
03-10-16; 08:00; 0; 2; 0,5
03-10-16; 09:00; 0; 1; 0,5
03-10-16; 10:00; 0; 2; 0,5
03-10-16; 11:00; 0; 2; 0,5
03-10-16; 12:00; 0; 1; 0,5
03-10-16; 13:00; 0; 2; 0,5
03-10-16; 14:00; 0; 2; 0,5
03-10-16; 15:00; 0; 1; 0,5
03-10-16; 16:00; 0; 3; 0,5
03-10-16; 17:00; 0; 1; 0,5
03-10-16; 18:00; 0; 2; 0,5
03-10-16; 19:00; 0; 2; 0,5
03-10-16; 20:00; 0; 3; 0,5
03-10-16; 21:00; 0; 2; 0,5
03-10-16; 22:00; 0; 6; 0,5
03-10-16; 23:00; 0; 7; 0,5
04-10-16; 00:00; 0; 7; 0,5
04-10-16; 01:00; 0; 7; 0,5
04-10-16; 02:00; 0; 7; 0,5
04-10-16; 03:00; 0; 5; 0,5
04-10-16; 04:00; 0; 3; 0,5
04-10-16; 05:00; 0; 1; 0,5
04-10-16; 06:00; 0; 1; 0,5
04-10-16; 07:00; 0; 0; 0,5
04-10-16; 08:00; 0; 1; 0,5
04-10-16; 09:00; 0; 0; 0,5
04-10-16; 10:00; 0; 0; 0,5
04-10-16; 11:00; 0; 2; 0,5
04-10-16; 12:00; 0; 2; 0,5
04-10-16; 13:00; 0; 2; 0,5
04-10-16; 14:00; 0; 6; 0,5
04-10-16; 15:00; 0; 5; 0,5
04-10-16; 16:00; 0; 6; 0,5
04-10-16; 17:00; 0; 5; 0,5
04-10-16; 18:00; 0; 6; 0,5
04-10-16; 19:00; 0; 6; 0,5
04-10-16; 20:00; 0; 5; 0,5
04-10-16; 21:00; 0; 3; 0,5
04-10-16; 22:00; 0; 7; 0,5
04-10-16; 23:00; 0; 6; 0,5
05-10-16; 00:00; 0; 6; 0,5
05-10-16; 01:00; 0; 6; 0,5
05-10-16; 02:00; 0; 4; 0,5
05-10-16; 03:00; 0; 3; 1,3
05-10-16; 04:00; 0; 4; 0,5
05-10-16; 05:00; 0; 4; 0,5
05-10-16; 06:00; 0; 7; 0,5
05-10-16; 07:00; 0; 5; 0,5
05-10-16; 08:00; 0; 4; 0,5
05-10-16; 09:00; 0; 3; 0,5
05-10-16; 10:00; 0; 2; 0,5
05-10-16; 11:00; 0; 1; 0,5
05-10-16; 12:00; 0; 5; 0,5
05-10-16; 13:00; 0; 4; 0,5
05-10-16; 14:00; 0; 2; 0,5
05-10-16; 15:00; 0; 3; 0,5
05-10-16; 16:00; 0; 3; 0,5
05-10-16; 17:00; 0; 4; 0,5
05-10-16; 18:00; 0; 2; 0,5
05-10-16; 19:00; 0; 0; 0,5
05-10-16; 20:00; 0; 0; 0,5
05-10-16; 21:00; 0; 0; 0,5
05-10-16; 22:00; 0; 0; 0,5
05-10-16; 23:00; 0; 0; 0,5
06-10-16; 00:00; 0; 0; 0,5
06-10-16; 01:00; 0; 0; 0,5
06-10-16; 02:00; 0; 0; 0,5
06-10-16; 03:00; 0; 1; 0,5
06-10-16; 04:00; 0; 1; 0,5
06-10-16; 05:00; 0; 1; 0,5
06-10-16; 06:00; 0; 1; 0,5
06-10-16; 07:00; 0; 1; 0,5
06-10-16; 08:00; 0; 0; 0,5
06-10-16; 09:00; 0; 0; 0,5
06-10-16; 10:00; 0; 2; 0,5
06-10-16; 11:00; 0; 1; 0,5
06-10-16; 12:00; 0; 0; 0,5
06-10-16; 13:00; 0; 0; 0,5
06-10-16; 14:00; 0; 1; 0,5
06-10-16; 15:00; 0; 1; 0,5
06-10-16; 16:00; 0; 1; 0,5
06-10-16; 17:00; 0; 0; 0,5
06-10-16; 18:00; 0; 1; 0,5
06-10-16; 19:00; 0; 0; 0,5
06-10-16; 20:00; 0; 1; 0,5
06-10-16; 21:00; 0; 1; 0,5
06-10-16; 22:00; 0; 1; 0,5
06-10-16; 23:00; 0; 2; 0,5
07-10-16; 00:00; 0; 1; 1,3
07-10-16; 01:00; 0; 1; 1,1
07-10-16; 02:00; 0; 1; 0,5
07-10-16; 03:00; 0; 0; 0,5
07-10-16; 04:00; 0; 0; 0,5
07-10-16; 05:00; 0; 1; 0,5
07-10-16; 06:00; 0; 1; 0,5
07-10-16; 07:00; 0; 1; 0,5
07-10-16; 08:00; 0; 0; 0,5
07-10-16; 09:00; 0; 1; 0,5
07-10-16; 10:00; 0; 4; 0,5
07-10-16; 11:00; 0; 2; 0,5
07-10-16; 12:00; 0; 2; 0,5
07-10-16; 13:00; 0; 1; 0,5
07-10-16; 14:00; 0; 4; 0,5
07-10-16; 15:00; 0; 4; 0,5
07-10-16; 16:00; 0; 3; 0,5
07-10-16; 17:00; 0; 4; 0,5
07-10-16; 18:00; 0; 4; 0,5
07-10-16; 19:00; 0; 5; 0,5
07-10-16; 20:00; 0; 4; 0,5
07-10-16; 21:00; 0; 7; 0,5
07-10-16; 22:00; 0; 7; 0,5
07-10-16; 23:00; 0; 9; 0,5
08-10-16; 00:00; 0; 2; 0,5
08-10-16; 01:00; 0; 4; 0,5
08-10-16; 02:00; 0; 6; 0,5
08-10-16; 03:00; 0; 3; 0,5
08-10-16; 04:00; 0; 2; 0,5
08-10-16; 05:00; 0; 4; 0,5
08-10-16; 06:00; 0; 6; 0,5
08-10-16; 07:00; 0; 4; 0,5
08-10-16; 08:00; 0; 3; 0,5
08-10-16; 09:00; 0; 3; 0,5
08-10-16; 10:00; 0; 3; 0,5
08-10-16; 11:00; 0; 3; 0,5
08-10-16; 12:00; 0; 0; 0,5
08-10-16; 13:00; 0; 0; 0,5
08-10-16; 14:00; 0; 1; 0,5
08-10-16; 15:00; 0; 1; 0,5
08-10-16; 16:00; 0; 2; 0,5
08-10-16; 17:00; 0; 3; 0,5
08-10-16; 18:00; 0; 1; 0,5
08-10-16; 19:00; 0; 2; 0,5
08-10-16; 20:00; 0; 2; 0,5
08-10-16; 21:00; 0; 2; 0,5
08-10-16; 22:00; 0; 1; 0,5
08-10-16; 23:00; 0; 1; 0,5
09-10-16; 00:00; 0; 0; 0,5
09-10-16; 01:00; 0; 1; 0,5
09-10-16; 02:00; 0; 1; 0,5
09-10-16; 03:00; 0; 0; 0,5
09-10-16; 04:00; 0; 1; 0,5
09-10-16; 05:00; 0; 5; 0,5
09-10-16; 06:00; 0; 4; 0,5
09-10-16; 07:00; 0; 3; 0,5
09-10-16; 08:00; 0; 4; 0,5
09-10-16; 09:00; 0; ; 0,5
09-10-16; 10:00; 0; 0; 2,6
09-10-16; 11:00; 0; 0; 1,2
09-10-16; 12:00; 0; 4; 0,5
09-10-16; 13:00; 0; 4; 0,5
09-10-16; 14:00; 0; 2; 0,5
09-10-16; 15:00; 0; 2; 0,5
09-10-16; 16:00; 0; 4; 0,5
09-10-16; 17:00; 0; 3; 0,5
09-10-16; 18:00; 0; 2; 0,5
09-10-16; 19:00; 0; 3; 0,5
09-10-16; 20:00; 0; 5; 0,5
09-10-16; 21:00; 0; 1; 0,5
09-10-16; 22:00; 0; 2; 0,5
09-10-16; 23:00; 0; 5; 0,5
10-10-16; 00:00; 0; 1; 0,5
10-10-16; 01:00; 0; 1; 0,5
10-10-16; 02:00; 0; 5; 0,5
10-10-16; 03:00; 0; 5; 0,5
10-10-16; 04:00; 0; 1; 0,5
10-10-16; 05:00; 0; 1; 0,5
10-10-16; 06:00; 0; 4; 0,5
10-10-16; 07:00; 0; 0; 0,5
10-10-16; 08:00; 0; 0; 0,5
10-10-16; 09:00; 0; 2; 0,5
10-10-16; 10:00; 0; 4; 0,5
10-10-16; 11:00; 0; 2; 0,5
10-10-16; 12:00; 0; 8; 0,5
10-10-16; 13:00; 0; 4; 1,1
10-10-16; 14:00; 0; 5; 1,8
10-10-16; 15:00; 0; 2; 0,5
10-10-16; 16:00; 0; 2; 0,5
10-10-16; 17:00; 0; 0; 0,5
10-10-16; 18:00; 0; 1; 0,5
10-10-16; 19:00; 0; ; 0,5
10-10-16; 20:00; 0; ; 0,5
10-10-16; 21:00; 0; 7; 0,5
10-10-16; 22:00; 0; 6; 1,1
10-10-16; 23:00; 0; 8; 0,5
11-10-16; 00:00; 0; 8; 0,5
11-10-16; 01:00; 0; 7; 0,5
11-10-16; 02:00; 0; 4; 0,5
11-10-16; 03:00; 0; 8; 0,5
11-10-16; 04:00; 0; 9; 0,5
11-10-16; 05:00; 0; 10; 0,5
11-10-16; 06:00; 0; 7; 0,5
11-10-16; 07:00; 0; 6; 0,5
11-10-16; 08:00; 0; 4; 0,5
11-10-16; 09:00; 0; 5; 0,5
11-10-16; 10:00; 0; 5; 0,5
11-10-16; 11:00; 0; 2; 0,5
11-10-16; 12:00; 0; 4; 0,5
11-10-16; 13:00; 0; 4; 0,5
11-10-16; 14:00; 0; 5; 0,5
11-10-16; 15:00; 0; 9; 0,5
11-10-16; 16:00; 0; 8; 1,1
11-10-16; 17:00; 0; 5; 1,4
11-10-16; 18:00; 0; 6; 1,3
11-10-16; 19:00; 0; 5; 0,5
11-10-16; 20:00; 0; 8; 0,5
11-10-16; 21:00; 0; 10; 0,5
11-10-16; 22:00; 0; 9; 0,5
11-10-16; 23:00; 0; 9; 0,5
12-10-16; 00:00; 0; 9; 0,5
12-10-16; 01:00; 0; 11; 0,5
12-10-16; 02:00; 0; 9; 0,5
12-10-16; 03:00; 0; 8; 0,5
12-10-16; 04:00; 0; 4; 0,5
12-10-16; 05:00; 0; 4; 0,5
12-10-16; 06:00; 0; 1; 0,5
12-10-16; 07:00; 0; 0; 0,5
12-10-16; 08:00; 0; 0; 0,5
12-10-16; 09:00; 0; 1; 0,5
12-10-16; 10:00; 0; 2; 0,5
12-10-16; 11:00; 0; 2; 0,5
12-10-16; 12:00; 0; 2; 0,5
12-10-16; 13:00; 0; 1; 0,5
12-10-16; 14:00; 0; 2; 0,5
12-10-16; 15:00; 0; 6; 0,5
12-10-16; 16:00; 0; 7; 0,5
12-10-16; 17:00; 0; 5; 0,5
12-10-16; 18:00; 0; 4; 0,5
12-10-16; 19:00; 0; 3; 0,5
12-10-16; 20:00; 0; 2; 0,5
12-10-16; 21:00; 0; 1; 0,5
12-10-16; 22:00; 0; 3; 0,5
12-10-16; 23:00; 0; 1; 1,2
13-10-16; 00:00; 0; 0; 0,5
13-10-16; 01:00; 0; 1; 0,5
13-10-16; 02:00; 0; 2; 0,5
13-10-16; 03:00; 0; 1; 0,5
13-10-16; 04:00; 0; 0; 0,5
13-10-16; 05:00; 0; 1; 5,0
13-10-16; 06:00; 0; 3; 7,4
13-10-16; 07:00; 0; 3; 3,8
13-10-16; 08:00; 0; 1; 3,8
13-10-16; 09:00; 0; ; 5,5
13-10-16; 10:00; 0; 4; 8,6
13-10-16; 11:00; 0; 6; 8,3
13-10-16; 12:00; 0; 3; 4,7
13-10-16; 13:00; 0; 3; 1,5
13-10-16; 14:00; 0; 4; 0,5
13-10-16; 15:00; 0; 4; 0,5
13-10-16; 16:00; 0; 7; 0,5
13-10-16; 17:00; 0; 7; 0,5
13-10-16; 18:00; 0; 8; 0,5
13-10-16; 19:00; 0; 6; 0,5
13-10-16; 20:00; 0; 6; 0,5
13-10-16; 21:00; 0; 4; 0,5
13-10-16; 22:00; 0; 4; 0,5
13-10-16; 23:00; 0; 6; 0,5
14-10-16; 00:00; 0; 8; 0,5
14-10-16; 01:00; 0; 8; 0,5
14-10-16; 02:00; 0; 9; 1,5
14-10-16; 03:00; 0; 10; 1,6
14-10-16; 04:00; 0; 10; 1,8
14-10-16; 05:00; 0; 9; 2,0
14-10-16; 06:00; 0; 14; 1,8
14-10-16; 07:00; 0; 11; 1,6
14-10-16; 08:00; 0; 9; 1,4
14-10-16; 09:00; 0; 10; 1,3
14-10-16; 10:00; 0; 11; 0,5
14-10-16; 11:00; 0; 13; 0,5
14-10-16; 12:00; 0; 12; 0,5
14-10-16; 13:00; 0; 14; 0,5
14-10-16; 14:00; 0; 16; 0,5
14-10-16; 15:00; 0; 15; 0,5
14-10-16; 16:00; 0; 15; 0,5
14-10-16; 17:00; 0; 15; 0,5
14-10-16; 18:00; 0; 15; 1,5
14-10-16; 19:00; 0; 13; 2,1
14-10-16; 20:00; 0; 12; 3,4
14-10-16; 21:00; 0; 11; 2,7
14-10-16; 22:00; 0; 12; 5,6
14-10-16; 23:00; 0; 14; 4,6
15-10-16; 00:00; 0; 14; 4,5
15-10-16; 01:00; 0; 15; 3,9
15-10-16; 02:00; 0; 12; 2,9
15-10-16; 03:00; 0; 12; 1,9
15-10-16; 04:00; 0; 12; 7,5
15-10-16; 05:00; 0; 13; 2,2
15-10-16; 06:00; 0; 13; 1,6
15-10-16; 07:00; 0; 11; 0,5
15-10-16; 08:00; 0; 9; 1,2
15-10-16; 09:00; 0; 11; 1,7
15-10-16; 10:00; 0; 11; 1,0
15-10-16; 11:00; 0; 11; 0,5
15-10-16; 12:00; 0; 9; 0,5
15-10-16; 13:00; 0; 9; 0,5
15-10-16; 14:00; 0; 11; 0,5
15-10-16; 15:00; 0; 9; 0,5
15-10-16; 16:00; 0; 14; 0,5
15-10-16; 17:00; 0; 8; 0,5
15-10-16; 18:00; 0; 8; 0,5
15-10-16; 19:00; 0; 8; 0,5
15-10-16; 20:00; 0; 7; 0,5
15-10-16; 21:00; 0; 7; 0,5
15-10-16; 22:00; 0; 6; 0,5
15-10-16; 23:00; 0; 4; 0,5
16-10-16; 00:00; 0; 4; 0,5
16-10-16; 01:00; 0; 4; 0,5
16-10-16; 02:00; 0; 4; 0,5
16-10-16; 03:00; 0; 3; 0,5
16-10-16; 04:00; 0; 3; 0,5
16-10-16; 05:00; 0; 3; 0,5
16-10-16; 06:00; 0; 3; 0,5
16-10-16; 07:00; 0; 4; 0,5
16-10-16; 08:00; 0; 5; 0,5
16-10-16; 09:00; 0; 4; 0,5
16-10-16; 10:00; 0; 7; 0,5
16-10-16; 11:00; 0; 3; 0,5
16-10-16; 12:00; 0; 1; 0,5
16-10-16; 13:00; 0; 3; 0,5
16-10-16; 14:00; 0; 4; 2,5
16-10-16; 15:00; 0; 2; 6,0
16-10-16; 16:00; 0; 2; 8,0
16-10-16; 17:00; 0; 2; 4,3
16-10-16; 18:00; 0; 2; 2,2
16-10-16; 19:00; 0; 3; 2,7
16-10-16; 20:00; 0; 4; 4,8
16-10-16; 21:00; 0; 6; 3,6
16-10-16; 22:00; 0; 7; 3,5
16-10-16; 23:00; 0; 10; 3,7
17-10-16; 00:00; 0; 8; 3,0
17-10-16; 01:00; 0; 8; 2,5
17-10-16; 02:00; 0; 4; 1,8
17-10-16; 03:00; 0; 9; 1,2
17-10-16; 04:00; 0; 7; 0,5
17-10-16; 05:00; 0; 9; 0,5
17-10-16; 06:00; 0; 8; 1,1
17-10-16; 07:00; 0; 8; 1,0
17-10-16; 08:00; 0; 6; 1,0
17-10-16; 09:00; 0; 6; 1,1
17-10-16; 10:00; 0; 6; 1,1
17-10-16; 11:00; 0; 6; 1,1
17-10-16; 12:00; 0; 7; 1,3
17-10-16; 13:00; 0; 9; 1,2
17-10-16; 14:00; 0; 10; 1,2
17-10-16; 15:00; 0; 16; 1,2
17-10-16; 16:00; 0; 11; 1,4
17-10-16; 17:00; 0; 13; 1,9
17-10-16; 18:00; 0; 13; 1,2
17-10-16; 19:00; 0; 16; 1,6
17-10-16; 20:00; 0; 13; 1,2
17-10-16; 21:00; 0; 10; 1,4
17-10-16; 22:00; 0; 9; 1,8
17-10-16; 23:00; 0; 8; 1,2
18-10-16; 00:00; 0; 9; 0,5
18-10-16; 01:00; 0; 9; 0,5
18-10-16; 02:00; 0; 9; 0,5
18-10-16; 03:00; 0; 13; 0,5
18-10-16; 04:00; 0; 13; 0,5
18-10-16; 05:00; 0; 14; 0,5
18-10-16; 06:00; 0; 15; 0,5
18-10-16; 07:00; 0; 14; 0,5
18-10-16; 08:00; 0; 11; 0,5
18-10-16; 09:00; 0; 17; 0,5
18-10-16; 10:00; 0; 18; 0,5
18-10-16; 11:00; 0; 5; 0,5
18-10-16; 12:00; 0; 4; 0,5
18-10-16; 13:00; 0; 7; 0,5
18-10-16; 14:00; 0; 6; 0,5
18-10-16; 15:00; 0; 10; 0,5
18-10-16; 16:00; 0; 7; 0,5
18-10-16; 17:00; 0; 8; 0,5
18-10-16; 18:00; 0; 10; 0,5
18-10-16; 19:00; 0; 9; 0,5
18-10-16; 20:00; 0; 11; 0,5
18-10-16; 21:00; 0; 12; 0,5
18-10-16; 22:00; 0; 13; 0,5
18-10-16; 23:00; 0; 10; 0,5
19-10-16; 00:00; 0; 10; 0,5
19-10-16; 01:00; 0; 11; 0,5
19-10-16; 02:00; 0; 9; 1,3
19-10-16; 03:00; 0; 1; 1,5
19-10-16; 04:00; 0; 3; 0,5
19-10-16; 05:00; 0; 5; 0,5
19-10-16; 06:00; 0; 4; 0,5
19-10-16; 07:00; 0; 1; 0,5
19-10-16; 08:00; 0; 1; 0,5
19-10-16; 09:00; 0; 4; 0,5
19-10-16; 10:00; 0; ; 0,5
19-10-16; 11:00; 0; ; 0,5
19-10-16; 12:00; 0; ; 0,5
19-10-16; 13:00; 0; ; 0,5
19-10-16; 14:00; 0; ; 0,5
19-10-16; 15:00; 0; ; 0,5
19-10-16; 16:00; 0; ; 0,5
19-10-16; 17:00; 0; ; 0,5
19-10-16; 18:00; 0; ; 2,2
19-10-16; 19:00; 0; 6; 0,5
19-10-16; 20:00; 0; 5; 0,5
19-10-16; 21:00; 0; 7; 1,7
19-10-16; 22:00; 0; 2; 2,4
19-10-16; 23:00; 0; 5; 5,0
20-10-16; 00:00; 0; 4; 3,2
20-10-16; 01:00; 0; 2; 3,8
20-10-16; 02:00; 0; 1; 2,9
20-10-16; 03:00; 0; 2; 1,9
20-10-16; 04:00; 0; 1; 0,5
20-10-16; 05:00; 0; 1; 0,5
20-10-16; 06:00; 0; 1; 0,5
20-10-16; 07:00; 0; 2; 0,5
20-10-16; 08:00; 0; 3; 0,5
20-10-16; 09:00; 0; 4; 0,5
20-10-16; 10:00; 0; 4; 0,5
20-10-16; 11:00; 0; ; 2,5
20-10-16; 12:00; 0; ; 2,1
20-10-16; 13:00; 0; 7; 1,4
20-10-16; 14:00; 0; 5; 1,0
20-10-16; 15:00; 0; 5; 0,5
20-10-16; 16:00; 0; 5; 1,0
20-10-16; 17:00; 0; 2; 0,5
20-10-16; 18:00; 0; 0; 1,0
20-10-16; 19:00; 0; 0; 0,5
20-10-16; 20:00; 0; 2; 2,2
20-10-16; 21:00; 0; 1; 3,1
20-10-16; 22:00; 0; 2; 0,5
20-10-16; 23:00; 0; 1; 0,5
21-10-16; 00:00; 0; 2; 0,5
21-10-16; 01:00; 0; 1; 0,5
21-10-16; 02:00; 0; 2; 0,5
21-10-16; 03:00; 0; 2; 2,0
21-10-16; 04:00; 0; 2; 4,7
21-10-16; 05:00; 0; 1; 4,2
21-10-16; 06:00; 0; 1; 0,5
21-10-16; 07:00; 0; 3; 1,6
21-10-16; 08:00; 0; 1; 0,5
21-10-16; 09:00; 0; 3; 0,5
21-10-16; 10:00; 0; 4; 0,5
21-10-16; 11:00; 0; 3; 0,5
21-10-16; 12:00; 0; 3; 0,5
21-10-16; 13:00; 0; 2; 0,5
21-10-16; 14:00; 0; 3; 0,5
21-10-16; 15:00; 0; 4; 0,5
21-10-16; 16:00; 0; 4; 0,5
21-10-16; 17:00; 0; 5; 0,5
21-10-16; 18:00; 0; 7; 0,5
21-10-16; 19:00; 0; 8; 0,5
21-10-16; 20:00; 0; 10; 0,5
21-10-16; 21:00; 0; 10; 0,5
