Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16; 01:00; ; 0; 5; 35; 3; 0.00; 
01-10-16; 02:00; ; 0; 5; 29; 4; 0.00; 
01-10-16; 03:00; ; 0; 8; 26; 3; 0.00; 
01-10-16; 04:00; ; 0; 17; 16; 4; 0.00; 
01-10-16; 05:00; ; 0; 17; 10; 6; 0.00; 
01-10-16; 06:00; ; 0; 25; 10; 5; 0.00; 
01-10-16; 07:00; ; 0; 30; 12; 8; 0.00; 
01-10-16; 08:00; ; 0; 23; 23; 8; 0.00; 
01-10-16; 09:00; ; 0; 14; 32; 7; 0.00; 
01-10-16; 10:00; ; 0; 17; 27; 7; 0.00; 
01-10-16; 11:00; ; 0; 14; 30; 8; 0.00; 
01-10-16; 12:00; ; 0; 12; 32; 8; 0.00; 
01-10-16; 13:00; ; 0; 11; 42; 11; 0.00; 
01-10-16; 14:00; ; 0; 7; 75; 14; 0.00; 
01-10-16; 15:00; ; 0; 4; 96; 16; 0.00; 
01-10-16; 16:00; ; 0; 4; 96; 12; 0.00; 
01-10-16; 17:00; ; 0; 11; 81; 12; 0.00; 
01-10-16; 18:00; ; 0; 7; 71; 14; 0.00; 
01-10-16; 19:00; ; 0; 9; 69; 14; 0.00; 
01-10-16; 20:00; ; 0; 9; 70; 14; 0.00; 
01-10-16; 21:00; ; 0; 8; 57; 17; 0.00; 
01-10-16; 22:00; ; 0; 7; 51; 14; 0.00; 
01-10-16; 23:00; ; 0; 7; 59; 11; 0.00; 
02-10-16; 00:00; ; 0; 7; 55; 11; 0.00; 
02-10-16; 01:00; ; 0; 6; 55; 11; 0.00; 
02-10-16; 02:00; ; 0; 4; 59; 10; 0.00; 
02-10-16; 03:00; ; 0; 3; 65; 6; 0.00; 
02-10-16; 04:00; ; 0; 3; 57; 3; 0.00; 
02-10-16; 05:00; ; 0; 4; 42; 3; 0.00; 
02-10-16; 06:00; ; 0; 4; 44; 4; 0.00; 
02-10-16; 07:00; ; 0; 4; 50; 3; 0.00; 
02-10-16; 08:00; ; 0; 3; 52; 3; 0.00; 
02-10-16; 09:00; ; 0; 3; 54; 3; 0.00; 
02-10-16; 10:00; ; 0; 2; 58; 5; 0.00; 
02-10-16; 11:00; ; 0; 3; 67; 4; 0.00; 
02-10-16; 12:00; ; 0; 2; 73; 3; 0.00; 
02-10-16; 13:00; ; 0; 2; 76; 1; 0.00; 
02-10-16; 14:00; ; 0; 2; 70; 2; 0.00; 
02-10-16; 15:00; ; 0; 5; 54; 7; 0.00; 
02-10-16; 16:00; ; 0; 6; 50; 7; 0.00; 
02-10-16; 17:00; ; 0; 6; 36; 7; 0.00; 
02-10-16; 18:00; ; 0; 7; 35; 7; 0.00; 
02-10-16; 19:00; ; 0; 6; 35; 7; 0.00; 
