Datum; Zeit; O3; PM10
; µg/m³; µg/m³
01-10-16; 01:00; 0; 11
01-10-16; 02:00; 0; 10
01-10-16; 03:00; 0; 11
01-10-16; 04:00; 0; 13
01-10-16; 05:00; 0; 15
01-10-16; 06:00; 0; 14
01-10-16; 07:00; 0; 16
01-10-16; 08:00; 0; 16
01-10-16; 09:00; 0; 15
01-10-16; 10:00; 0; 15
01-10-16; 11:00; 0; 12
01-10-16; 12:00; 0; 11
01-10-16; 13:00; 0; 13
01-10-16; 14:00; 0; 10
01-10-16; 15:00; 0; 11
01-10-16; 16:00; 0; 11
01-10-16; 17:00; 0; 10
01-10-16; 18:00; 0; 11
01-10-16; 19:00; 0; 8
01-10-16; 20:00; 0; 6
01-10-16; 21:00; 0; 3
01-10-16; 22:00; 0; 3
01-10-16; 23:00; 0; 4
02-10-16; 00:00; 0; 3
02-10-16; 01:00; 0; 3
02-10-16; 02:00; 0; 3
02-10-16; 03:00; 0; 4
02-10-16; 04:00; 0; 4
02-10-16; 05:00; 0; 4
02-10-16; 06:00; 0; 4
02-10-16; 07:00; 0; 3
02-10-16; 08:00; 0; 5
02-10-16; 09:00; 0; 4
02-10-16; 10:00; 0; 4
02-10-16; 11:00; 0; 4
02-10-16; 12:00; 0; 4
02-10-16; 13:00; 0; 2
02-10-16; 14:00; 0; 1
02-10-16; 15:00; 0; 0
02-10-16; 16:00; 0; 1
02-10-16; 17:00; 0; 0
02-10-16; 18:00; 0; 1
02-10-16; 19:00; 0; 4
02-10-16; 20:00; 0; 5
02-10-16; 21:00; 0; 5
02-10-16; 22:00; 0; 4
02-10-16; 23:00; 0; 5
03-10-16; 00:00; 0; 4
03-10-16; 01:00; 0; 5
03-10-16; 02:00; 0; 3
03-10-16; 03:00; 0; 2
03-10-16; 04:00; 0; 3
03-10-16; 05:00; 0; 2
03-10-16; 06:00; 0; 1
03-10-16; 07:00; 0; 1
03-10-16; 08:00; 0; 2
03-10-16; 09:00; 0; 1
03-10-16; 10:00; 0; 2
03-10-16; 11:00; 0; 2
03-10-16; 12:00; 0; 1
03-10-16; 13:00; 0; 2
03-10-16; 14:00; 0; 2
03-10-16; 15:00; 0; 1
03-10-16; 16:00; 0; 3
03-10-16; 17:00; 0; 1
03-10-16; 18:00; 0; 2
03-10-16; 19:00; 0; 2
03-10-16; 20:00; 0; 3
03-10-16; 21:00; 0; 2
03-10-16; 22:00; 0; 6
03-10-16; 23:00; 0; 7
04-10-16; 00:00; 0; 7
04-10-16; 01:00; 0; 7
04-10-16; 02:00; 0; 7
04-10-16; 03:00; 0; 5
04-10-16; 04:00; 0; 3
04-10-16; 05:00; 0; 1
04-10-16; 06:00; 0; 1
04-10-16; 07:00; 0; 0
04-10-16; 08:00; 0; 1
04-10-16; 09:00; 0; 0
04-10-16; 10:00; 0; 0
04-10-16; 11:00; 0; 2
04-10-16; 12:00; 0; 2
04-10-16; 13:00; 0; 2
04-10-16; 14:00; 0; 6
04-10-16; 15:00; 0; 5
04-10-16; 16:00; 0; 6
04-10-16; 17:00; 0; 5
04-10-16; 18:00; 0; 6
04-10-16; 19:00; 0; 6
04-10-16; 20:00; 0; 5
04-10-16; 21:00; 0; 3
04-10-16; 22:00; 0; 7
04-10-16; 23:00; 0; 6
05-10-16; 00:00; 0; 6
05-10-16; 01:00; 0; 6
05-10-16; 02:00; 0; 4
05-10-16; 03:00; 0; 3
05-10-16; 04:00; 0; 4
05-10-16; 05:00; 0; 4
05-10-16; 06:00; 0; 7
05-10-16; 07:00; 0; 5
05-10-16; 08:00; 0; 4
05-10-16; 09:00; 0; 3
05-10-16; 10:00; 0; 2
05-10-16; 11:00; 0; 1
05-10-16; 12:00; 0; 5
05-10-16; 13:00; 0; 4
05-10-16; 14:00; 0; 2
05-10-16; 15:00; 0; 3
05-10-16; 16:00; 0; 3
05-10-16; 17:00; 0; 4
05-10-16; 18:00; 0; 2
05-10-16; 19:00; 0; 0
05-10-16; 20:00; 0; 0
05-10-16; 21:00; 0; 0
05-10-16; 22:00; 0; 0
05-10-16; 23:00; 0; 0
06-10-16; 00:00; 0; 0
06-10-16; 01:00; 0; 0
06-10-16; 02:00; 0; 0
06-10-16; 03:00; 0; 1
06-10-16; 04:00; 0; 1
06-10-16; 05:00; 0; 1
06-10-16; 06:00; 0; 1
06-10-16; 07:00; 0; 1
06-10-16; 08:00; 0; 0
06-10-16; 09:00; 0; 0
06-10-16; 10:00; 0; 2
