Datum; Zeit; O3; PM10
; µg/m³; µg/m³
01-10-16; 01:00; 5; 11
01-10-16; 02:00; 3; 10
01-10-16; 03:00; 3; 11
01-10-16; 04:00; 4; 13
01-10-16; 05:00; 5; 15
01-10-16; 06:00; 23; 14
01-10-16; 07:00; 31; 16
01-10-16; 08:00; 34; 16
01-10-16; 09:00; 44; 15
01-10-16; 10:00; 58; 15
01-10-16; 11:00; 72; 12
01-10-16; 12:00; 79; 11
01-10-16; 13:00; 91; 13
01-10-16; 14:00; 93; 10
01-10-16; 15:00; 84; 11
01-10-16; 16:00; 75; 11
01-10-16; 17:00; 78; 10
01-10-16; 18:00; 77; 11
01-10-16; 19:00; 80; 8
01-10-16; 20:00; 78; 6
01-10-16; 21:00; 77; 3
01-10-16; 22:00; 71; 3
01-10-16; 23:00; 61; 4
02-10-16; 00:00; 59; 3
02-10-16; 01:00; 53; 3
02-10-16; 02:00; 50; 3
02-10-16; 03:00; 47; 4
02-10-16; 04:00; 49; 4
02-10-16; 05:00; 45; 4
02-10-16; 06:00; 42; 4
02-10-16; 07:00; 45; 3
02-10-16; 08:00; 45; 5
02-10-16; 09:00; 55; 4
02-10-16; 10:00; 55; 4
02-10-16; 11:00; 58; 4
02-10-16; 12:00; 59; 4
02-10-16; 13:00; 58; 2
02-10-16; 14:00; 67; 1
02-10-16; 15:00; 65; 0
02-10-16; 16:00; 59; 1
02-10-16; 17:00; 59; 0
02-10-16; 18:00; 53; 1
02-10-16; 19:00; 38; 4
02-10-16; 20:00; 33; 5
02-10-16; 21:00; 28; 5
02-10-16; 22:00; 28; 4
02-10-16; 23:00; 29; 5
03-10-16; 00:00; 40; 4
03-10-16; 01:00; 48; 5
03-10-16; 02:00; 50; 3
03-10-16; 03:00; 51; 2
03-10-16; 04:00; 48; 3
03-10-16; 05:00; 43; 2
03-10-16; 06:00; 44; 1
03-10-16; 07:00; 45; 1
03-10-16; 08:00; 46; 2
03-10-16; 09:00; 45; 1
03-10-16; 10:00; 48; 2
03-10-16; 11:00; 55; 2
03-10-16; 12:00; 64; 1
03-10-16; 13:00; 65; 2
03-10-16; 14:00; 62; 2
03-10-16; 15:00; 59; 1
03-10-16; 16:00; 50; 3
03-10-16; 17:00; 46; 1
03-10-16; 18:00; 45; 2
03-10-16; 19:00; 45; 2
03-10-16; 20:00; 47; 3
03-10-16; 21:00; 42; 2
03-10-16; 22:00; 43; 6
03-10-16; 23:00; 43; 7
04-10-16; 00:00; 41; 7
04-10-16; 01:00; 39; 7
04-10-16; 02:00; 38; 7
04-10-16; 03:00; 43; 5
04-10-16; 04:00; 41; 3
04-10-16; 05:00; 46; 1
04-10-16; 06:00; 40; 1
04-10-16; 07:00; 36; 0
04-10-16; 08:00; 38; 1
04-10-16; 09:00; 50; 0
04-10-16; 10:00; 49; 0
04-10-16; 11:00; 51; 2
04-10-16; 12:00; 49; 2
04-10-16; 13:00; 51; 2
04-10-16; 14:00; 56; 6
04-10-16; 15:00; 59; 5
04-10-16; 16:00; 63; 6
04-10-16; 17:00; 61; 5
04-10-16; 18:00; 56; 6
04-10-16; 19:00; 32; 6
04-10-16; 20:00; 21; 5
04-10-16; 21:00; 14; 3
04-10-16; 22:00; 10; 7
04-10-16; 23:00; 13; 6
05-10-16; 00:00; 32; 6
05-10-16; 01:00; 42; 6
05-10-16; 02:00; 49; 4
05-10-16; 03:00; 51; 3
05-10-16; 04:00; 51; 4
05-10-16; 05:00; 45; 4
05-10-16; 06:00; 38; 7
05-10-16; 07:00; 39; 5
05-10-16; 08:00; 37; 4
05-10-16; 09:00; 38; 3
05-10-16; 10:00; 32; 2
05-10-16; 11:00; 36; 1
05-10-16; 12:00; 42; 5
05-10-16; 13:00; 40; 4
05-10-16; 14:00; 44; 2
05-10-16; 15:00; 47; 3
05-10-16; 16:00; 43; 3
05-10-16; 17:00; 44; 4
05-10-16; 18:00; 43; 2
05-10-16; 19:00; 48; 0
05-10-16; 20:00; 48; 0
05-10-16; 21:00; 51; 0
05-10-16; 22:00; 51; 0
05-10-16; 23:00; 51; 0
06-10-16; 00:00; 50; 0
06-10-16; 01:00; 52; 0
06-10-16; 02:00; 52; 0
06-10-16; 03:00; 52; 1
06-10-16; 04:00; 51; 1
06-10-16; 05:00; 50; 1
06-10-16; 06:00; 47; 1
06-10-16; 07:00; 43; 1
06-10-16; 08:00; 40; 0
06-10-16; 09:00; 38; 0
06-10-16; 10:00; 36; 2
06-10-16; 11:00; 33; 1
06-10-16; 12:00; 31; 0
06-10-16; 13:00; 34; 0
06-10-16; 14:00; 35; 1
06-10-16; 15:00; 35; 1
06-10-16; 16:00; 32; 1
