Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16; 00:30; 0.0; 0; ; ; ; ; 
01-10-16; 01:00; 1.3; 16; 15; 7; 13; 0.00; 0.0
01-10-16; 01:30; 0.0; 0; ; ; ; ; 
01-10-16; 02:00; 0.6; 9; 13; 5; 13; 0.00; 0.0
01-10-16; 02:30; 0.0; 0; ; ; ; ; 
01-10-16; 03:00; 1.0; 13; 12; 3; 13; 0.00; 0.0
01-10-16; 03:30; 0.0; 0; ; ; ; ; 
01-10-16; 04:00; 0.8; 22; 12; 2; 13; 0.00; 0.0
01-10-16; 04:30; 0.0; 0; ; ; ; ; 
01-10-16; 05:00; 0.9; 16; 14; 3; 13; 0.00; 0.0
01-10-16; 05:30; 0.0; 0; ; ; ; ; 
01-10-16; 06:00; 0.8; 4; 14; 2; 13; 0.00; 0.0
01-10-16; 06:30; 0.0; 0; ; ; ; ; 
01-10-16; 07:00; 0.8; 10; 17; 3; 13; 0.00; 0.0
01-10-16; 07:30; 0.0; 0; ; ; ; ; 
01-10-16; 08:00; 0.5; 15; 21; 4; 13; 0.00; 0.0
01-10-16; 08:30; 0.0; 0; ; ; ; ; 
01-10-16; 09:00; 0.5; 18; 23; 9; 13; 0.00; 0.0
01-10-16; 09:30; 0.0; 0; ; ; ; ; 
01-10-16; 10:00; 0.7; 16; 22; 8; 13; 0.00; 0.0
01-10-16; 10:30; 0.0; 0; ; ; ; ; 
01-10-16; 11:00; 0.9; 15; 26; 7; 13; 0.00; 0.0
01-10-16; 11:30; 0.0; 0; ; ; ; ; 
01-10-16; 12:00; 1.2; 13; 27; 8; 13; 0.00; 0.0
01-10-16; 12:30; 0.0; 0; ; ; ; ; 
01-10-16; 13:00; 1.3; 7; 20; 17; 13; 0.00; 0.0
01-10-16; 13:30; 0.0; 0; ; ; ; ; 
01-10-16; 14:00; 1.4; 9; 22; 24; 13; 0.00; 0.0
01-10-16; 14:30; 0.0; 0; ; ; ; ; 
01-10-16; 15:00; 1.4; 9; 26; 24; 13; 0.00; 0.0
01-10-16; 15:30; 0.0; 0; ; ; ; ; 
01-10-16; 16:00; 3.1; 5; 20; 21; 13; 0.00; 0.0
01-10-16; 16:30; 0.0; 0; ; ; ; ; 
01-10-16; 17:00; 5.3; 9; 29; 15; 13; 0.00; 0.0
01-10-16; 17:30; 0.0; 0; ; ; ; ; 
01-10-16; 18:00; 3.2; 12; 34; 30; 13; 0.00; 0.0
01-10-16; 18:30; 0.0; 0; ; ; ; ; 
01-10-16; 19:00; 2.0; 3; 15; 67; 13; 0.00; 0.0
01-10-16; 19:30; 0.0; 0; ; ; ; ; 
01-10-16; 20:00; 1.9; 6; 20; 64; 13; 0.00; 0.0
01-10-16; 20:30; 0.0; 0; ; ; ; ; 
01-10-16; 21:00; 2.3; 5; 12; 55; 13; 0.00; 0.0
01-10-16; 21:30; 0.0; 0; ; ; ; ; 
01-10-16; 22:00; 1.2; 4; 12; 49; 13; 0.00; 0.0
01-10-16; 22:30; 0.0; 0; ; ; ; ; 
01-10-16; 23:00; ; 3; 12; 53; 13; 0.00; 0.0
01-10-16; 23:30; 0.0; 0; ; ; ; ; 
02-10-16; 00:00; ; 2; 8; 51; 13; 0.00; 0.0
02-10-16; 00:30; 0.0; 0; ; ; ; ; 
02-10-16; 01:00; ; 2; 9; 49; 8; 0.00; 0.0
02-10-16; 01:30; 0.0; 0; ; ; ; ; 
02-10-16; 02:00; ; 3; 12; 45; 8; 0.00; 0.0
02-10-16; 02:30; 0.0; 0; ; ; ; ; 
02-10-16; 03:00; ; 2; 9; 39; 8; 0.00; 0.0
02-10-16; 03:30; 0.0; 0; ; ; ; ; 
02-10-16; 04:00; 0.6; 3; 10; 29; 8; 0.00; 0.0
02-10-16; 04:30; 0.0; 0; ; ; ; ; 
02-10-16; 05:00; 0.5; 6; 14; 23; 8; 0.00; 0.0
02-10-16; 05:30; 0.0; 0; ; ; ; ; 
02-10-16; 06:00; 0.3; 7; 11; 24; 8; 0.00; 0.0
02-10-16; 06:30; 0.0; 0; ; ; ; ; 
02-10-16; 07:00; 0.4; 15; 18; 27; 8; 0.00; 0.0
02-10-16; 07:30; 0.0; 0; ; ; ; ; 
02-10-16; 08:00; 0.4; 14; 20; 32; 8; 0.00; 0.0
02-10-16; 08:30; 0.0; 0; ; ; ; ; 
02-10-16; 09:00; 0.8; 9; 14; 43; 8; 0.00; 0.0
02-10-16; 09:30; 0.0; 0; ; ; ; ; 
02-10-16; 10:00; 0.7; 9; 12; 49; 8; 0.00; 0.0
02-10-16; 10:30; 0.0; 0; ; ; ; ; 
02-10-16; 11:00; 0.7; 8; 13; 53; 8; 0.00; 0.0
02-10-16; 11:30; 0.0; 0; ; ; ; ; 
02-10-16; 12:00; 0.7; 11; 19; 60; 8; 0.00; 0.0
02-10-16; 12:30; 0.0; 0; ; ; ; ; 
02-10-16; 13:00; 0.7; 11; 18; 67; 8; 0.00; 0.0
02-10-16; 13:30; 0.0; 0; ; ; ; ; 
02-10-16; 14:00; 1.1; 8; 15; 73; 8; 0.00; 0.0
02-10-16; 14:30; 0.0; 0; ; ; ; ; 
02-10-16; 15:00; 1.3; 13; 23; 73; 8; 0.00; 0.0
02-10-16; 15:30; 0.0; 0; ; ; ; ; 
02-10-16; 16:00; 1.0; 20; 30; 70; 8; 0.00; 0.0
02-10-16; 16:30; 0.0; 0; ; ; ; ; 
02-10-16; 17:00; 1.1; 17; 26; 72; 8; 0.00; 0.0
02-10-16; 17:30; 0.0; 0; ; ; ; ; 
02-10-16; 18:00; 1.3; 22; 29; 66; 8; 0.00; 0.0
02-10-16; 18:30; 0.0; 0; ; ; ; ; 
02-10-16; 19:00; 2.0; 18; 26; 53; 8; 0.00; 0.0
02-10-16; 19:30; 0.0; 0; ; ; ; ; 
02-10-16; 20:00; 1.7; 18; 24; 34; 8; 0.00; 0.0
02-10-16; 20:30; 0.0; 0; ; ; ; ; 
02-10-16; 21:00; 2.5; 11; 21; 32; 8; 0.00; 0.0
02-10-16; 21:30; 0.0; 0; ; ; ; ; 
02-10-16; 22:00; 1.8; 10; 20; 44; 8; 0.00; 0.0
02-10-16; 22:30; 0.0; 0; ; ; ; ; 
02-10-16; 23:00; 1.3; 9; 12; 43; 8; 0.00; 0.0
02-10-16; 23:30; 0.0; 0; ; ; ; ; 
03-10-16; 00:00; 1.6; 7; 10; 39; 8; 0.00; 0.0
03-10-16; 00:30; 0.0; 0; ; ; ; ; 
03-10-16; 01:00; 1.0; 2; 7; 34; 11; 0.00; 0.0
03-10-16; 01:30; 0.0; 0; ; ; ; ; 
