Datum Zeit; NO; NO2; O3; PM2.5; SO2; PM10; BEN
; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16 00:30; ; ; ; ; 0,0; ; 
01-10-16 01:00; 1; 12; 13; 0,00; 1,5; 16; 0,2
01-10-16 01:30; ; ; ; ; 0,0; ; 
01-10-16 02:00; 1; 12; 7; 0,00; 0,5; 16; 0,1
01-10-16 02:30; ; ; ; ; 0,0; ; 
01-10-16 03:00; 1; 11; 6; 0,00; 1,1; 16; 0,1
01-10-16 03:30; ; ; ; ; 0,0; ; 
01-10-16 04:00; 1; 12; 9; 0,00; 2,3; 16; 1,9
01-10-16 04:30; ; ; ; ; 0,0; ; 
01-10-16 05:00; 5; 17; 4; 0,00; 1,4; 16; 5,9
01-10-16 05:30; ; ; ; ; 0,0; ; 
01-10-16 06:00; 1; 10; 6; 0,00; 0,5; 16; 7,3
01-10-16 06:30; ; ; ; ; 0,0; ; 
01-10-16 07:00; 5; 12; 4; 0,00; 0,5; 16; 2,2
01-10-16 07:30; ; ; ; ; 0,0; ; 
01-10-16 08:00; 10; 17; 3; 0,00; 1,5; 16; 1,1
01-10-16 08:30; ; ; ; ; 0,0; ; 
01-10-16 09:00; 9; 15; 6; 0,00; 2,6; 16; 1,1
01-10-16 09:30; ; ; ; ; 0,0; ; 
01-10-16 10:00; 10; 16; 27; 0,00; 3,1; 16; 1,1
01-10-16 10:30; ; ; ; ; 0,0; ; 
01-10-16 11:00; 1; 9; 66; 0,00; 2,1; 16; 0,8
01-10-16 11:30; ; ; ; ; 0,0; ; 
01-10-16 12:00; 1; 8; 79; 0,00; 1,9; 16; 0,8
01-10-16 12:30; ; ; ; ; 0,0; ; 
01-10-16 13:00; 1; 8; 88; 0,00; 1,7; 16; 0,4
01-10-16 13:30; ; ; ; ; 0,0; ; 
01-10-16 14:00; 1; 9; 94; 0,00; 1,7; 16; 0,3
01-10-16 14:30; ; ; ; ; 0,0; ; 
01-10-16 15:00; 1; 12; 99; 0,00; 1,6; 16; 0,2
01-10-16 15:30; ; ; ; ; 0,0; ; 
01-10-16 16:00; 1; 15; 94; 0,00; 1,6; 16; 0,3
01-10-16 16:30; ; ; ; ; 0,0; ; 
01-10-16 17:00; 1; 26; 75; 0,00; 1,8; 16; 0,3
01-10-16 17:30; ; ; ; ; 0,0; ; 
01-10-16 18:00; 2; 26; 64; 0,00; 1,6; 16; 0,3
01-10-16 18:30; ; ; ; ; 0,0; ; 
01-10-16 19:00; 1; 13; 69; 0,00; 1,8; 16; 0,3
01-10-16 19:30; ; ; ; ; 0,0; ; 
01-10-16 20:00; 1; 22; 53; 0,00; 2,2; 16; 0,2
01-10-16 20:30; ; ; ; ; 0,0; ; 
01-10-16 21:00; 1; 24; 47; 0,00; 1,9; 16; 0,2
01-10-16 21:30; ; ; ; ; 0,0; ; 
01-10-16 22:00; 1; 5; 79; 0,00; 0,5; 16; 0,2
01-10-16 22:30; ; ; ; ; 0,0; ; 
01-10-16 23:00; 1; 4; 72; 0,00; 0,5; 16; 0,1
01-10-16 23:30; ; ; ; ; 0,0; ; 
02-10-16 00:00; 1; 5; 66; 0,00; 0,5; 16; 0,1
02-10-16 00:30; ; ; ; ; 0,0; ; 
02-10-16 01:00; 1; 7; 46; 0,00; 0,5; 9; 0,1
02-10-16 01:30; ; ; ; ; 0,0; ; 
02-10-16 02:00; 1; 6; 50; 0,00; 0,5; 9; 0,1
02-10-16 02:30; ; ; ; ; 0,0; ; 
02-10-16 03:00; 1; 6; 42; 0,00; 0,5; 9; 0,1
02-10-16 03:30; ; ; ; ; 0,0; ; 
02-10-16 04:00; 1; 5; 34; 0,00; 0,5; 9; 0,1
02-10-16 04:30; ; ; ; ; 0,0; ; 
02-10-16 05:00; 1; 8; 28; 0,00; 0,5; 9; 0,1
02-10-16 05:30; ; ; ; ; 0,0; ; 
02-10-16 06:00; 1; 13; 17; 0,00; 0,5; 9; 0,1
02-10-16 06:30; ; ; ; ; 0,0; ; 
02-10-16 07:00; 1; 11; 10; 0,00; 0,5; 9; 0,1
02-10-16 07:30; ; ; ; ; 0,0; ; 
02-10-16 08:00; 3; 12; 15; 0,00; 0,5; 9; 0,1
02-10-16 08:30; ; ; ; ; 0,0; ; 
02-10-16 09:00; 2; 7; 37; 0,00; 1,5; 9; 0,1
02-10-16 09:30; ; ; ; ; 0,0; ; 
02-10-16 10:00; 2; 6; 43; 0,00; 2,5; 9; 0,1
02-10-16 10:30; ; ; ; ; 0,0; ; 
02-10-16 11:00; 2; 7; 50; 0,00; 3,1; 9; 0,1
02-10-16 11:30; ; ; ; ; 0,0; ; 
02-10-16 12:00; 2; 7; 48; 0,00; 3,2; 9; 0,2
02-10-16 12:30; ; ; ; ; 0,0; ; 
02-10-16 13:00; 1; 7; 48; 0,00; 2,2; 9; 0,2
02-10-16 13:30; ; ; ; ; 0,0; ; 
02-10-16 14:00; 1; 8; 43; 0,00; 2,1; 9; 0,1
02-10-16 14:30; ; ; ; ; 0,0; ; 
02-10-16 15:00; 2; 7; 42; 0,00; 1,2; 9; 0,1
02-10-16 15:30; ; ; ; ; 0,0; ; 
02-10-16 16:00; 1; 9; 35; 0,00; 0,5; 9; 0,1
02-10-16 16:30; ; ; ; ; 0,0; ; 
02-10-16 17:00; 1; 10; 34; 0,00; 0,5; 9; 0,3
02-10-16 17:30; ; ; ; ; 0,0; ; 
02-10-16 18:00; 2; 9; 38; 0,00; 0,5; 9; 0,3
02-10-16 18:30; ; ; ; ; 0,0; ; 
