Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16; 01:00; 0.0; ; ; 9; 11; ; 
01-10-16; 02:00; 0.0; ; ; 6; 10; ; 
01-10-16; 03:00; 0.0; ; ; 6; 11; ; 
01-10-16; 04:00; 0.0; ; ; 5; 13; ; 
01-10-16; 05:00; 0.0; ; ; 3; 15; ; 
01-10-16; 06:00; 0.0; ; ; 1; 14; ; 
01-10-16; 07:00; 0.0; ; ; 1; 16; ; 
01-10-16; 08:00; 0.0; ; ; 3; 16; ; 
01-10-16; 09:00; 0.0; ; ; 11; 15; ; 
01-10-16; 10:00; 0.0; ; ; 8; 15; ; 
01-10-16; 11:00; 0.0; ; ; 9; 12; ; 
01-10-16; 12:00; 0.0; ; ; 9; 11; ; 
01-10-16; 13:00; 0.0; ; ; 14; 13; ; 
01-10-16; 14:00; 0.0; ; ; 24; 10; ; 
01-10-16; 15:00; 0.0; ; ; 30; 11; ; 
01-10-16; 16:00; 0.0; ; ; 25; 11; ; 
01-10-16; 17:00; 0.0; ; ; 21; 10; ; 
01-10-16; 18:00; 0.0; ; ; 15; 11; ; 
01-10-16; 19:00; 0.0; ; ; 34; 8; ; 
01-10-16; 20:00; 0.0; ; ; 51; 6; ; 
01-10-16; 21:00; 0.0; ; ; 52; 3; ; 
01-10-16; 22:00; 0.0; ; ; 53; 3; ; 
01-10-16; 23:00; 0.0; ; ; 49; 4; ; 
02-10-16; 00:00; 0.0; ; ; 42; 3; ; 
02-10-16; 01:00; 0.0; ; ; 40; 3; ; 
02-10-16; 02:00; 0.0; ; ; 40; 3; ; 
02-10-16; 03:00; 0.0; ; ; 32; 4; ; 
02-10-16; 04:00; 0.0; ; ; 31; 4; ; 
02-10-16; 05:00; 0.0; ; ; 36; 4; ; 
02-10-16; 06:00; 0.0; ; ; 35; 4; ; 
02-10-16; 07:00; 0.0; ; ; 29; 3; ; 
02-10-16; 08:00; 0.0; ; ; 32; 5; ; 
02-10-16; 09:00; 0.0; ; ; 42; 4; ; 
02-10-16; 10:00; 0.0; ; ; 45; 4; ; 
02-10-16; 11:00; 0.0; ; ; 55; 4; ; 
02-10-16; 12:00; 0.0; ; ; 61; 4; ; 
02-10-16; 13:00; 0.0; ; ; 64; 2; ; 
02-10-16; 14:00; 0.0; ; ; 74; 1; ; 
02-10-16; 15:00; 0.0; ; ; 74; 0; ; 
02-10-16; 16:00; 0.0; ; ; 71; 1; ; 
02-10-16; 17:00; 0.0; ; ; 70; 0; ; 
02-10-16; 18:00; 0.0; ; ; 63; 1; ; 
02-10-16; 19:00; 0.0; ; ; 57; 4; ; 
02-10-16; 20:00; 0.0; ; ; 49; 5; ; 
02-10-16; 21:00; 0.0; ; ; 47; 5; ; 
02-10-16; 22:00; 0.0; ; ; 48; 4; ; 
