Datum; Zeit; BEN; NO; NO2; O3; PM10; PM2.5; SO2
dd-mm-yy; hh:mm; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
01-10-16; 00:30; ; 0; 0; ; ; ; 
01-10-16; 01:00; 0.0; ; ; 59; 11; ; 0.5
01-10-16; 01:30; ; 0; 0; ; ; ; 
01-10-16; 02:00; 0.0; ; ; 60; 10; ; 0.5
01-10-16; 02:30; ; 0; 0; ; ; ; 
01-10-16; 03:00; 0.0; ; ; 56; 11; ; 0.5
01-10-16; 03:30; ; 0; 0; ; ; ; 
01-10-16; 04:00; 0.0; ; ; 54; 13; ; 0.5
01-10-16; 04:30; ; 0; 0; ; ; ; 
01-10-16; 05:00; 0.0; ; ; 47; 15; ; 1.7
01-10-16; 05:30; ; 0; 0; ; ; ; 
01-10-16; 06:00; 0.0; ; ; 27; 14; ; 8.6
01-10-16; 06:30; ; 0; 0; ; ; ; 
01-10-16; 07:00; 0.0; ; ; 37; 16; ; 10.7
01-10-16; 07:30; ; 0; 0; ; ; ; 
01-10-16; 08:00; 0.0; ; ; 41; 16; ; 9.0
01-10-16; 08:30; ; 0; 0; ; ; ; 
01-10-16; 09:00; 0.0; ; ; 45; 15; ; 7.3
01-10-16; 09:30; ; 0; 0; ; ; ; 
01-10-16; 10:00; 0.0; ; ; 55; 15; ; 5.0
01-10-16; 10:30; ; 0; 0; ; ; ; 
01-10-16; 11:00; 0.0; ; ; 82; 12; ; 3.0
01-10-16; 11:30; ; 0; 0; ; ; ; 
01-10-16; 12:00; 0.0; ; ; 80; 11; ; 4.9
01-10-16; 12:30; ; 0; 0; ; ; ; 
01-10-16; 13:00; 0.0; ; ; 75; 13; ; 6.5
01-10-16; 13:30; ; 0; 0; ; ; ; 
01-10-16; 14:00; 0.0; ; ; 82; 10; ; 7.4
01-10-16; 14:30; ; 0; 0; ; ; ; 
01-10-16; 15:00; 0.0; ; ; 89; 11; ; 5.0
01-10-16; 15:30; ; 0; 0; ; ; ; 
01-10-16; 16:00; 0.0; ; ; 90; 11; ; 4.0
01-10-16; 16:30; ; 0; 0; ; ; ; 
01-10-16; 17:00; 0.0; ; ; 88; 10; ; 3.0
01-10-16; 17:30; ; 0; 0; ; ; ; 
01-10-16; 18:00; 0.0; ; ; 84; 11; ; 5.7
01-10-16; 18:30; ; 0; 0; ; ; ; 
01-10-16; 19:00; 0.0; ; ; 84; 8; ; 11.2
01-10-16; 19:30; ; 0; 0; ; ; ; 
01-10-16; 20:00; 0.0; ; ; 81; 6; ; 3.1
01-10-16; 20:30; ; 0; 0; ; ; ; 
01-10-16; 21:00; 0.0; ; ; 78; 3; ; 1.3
01-10-16; 21:30; ; 0; 0; ; ; ; 
01-10-16; 22:00; 0.0; ; ; 86; 3; ; 1.0
01-10-16; 22:30; ; 0; 0; ; ; ; 
01-10-16; 23:00; 0.0; ; ; 84; 4; ; 0.5
