Datum Zeit; Dresden-Nord CO
; mg/m3
30-12-14; n. def.
29-12-14; n. def.
28-12-14; n. def.
27-12-14; n. def.
26-12-14; n. def.
25-12-14; n. def.
24-12-14; n. def.
23-12-14; n. def.
22-12-14; n. def.
21-12-14; n. def.
20-12-14; n. def.
19-12-14; n. def.
18-12-14; n. def.
17-12-14; n. def.
16-12-14; n. def.
15-12-14; n. def.
14-12-14; n. def.
13-12-14; n. def.
12-12-14; n. def.
11-12-14; n. def.
10-12-14; n. def.
09-12-14; n. def.
08-12-14; n. def.
07-12-14; n. def.
06-12-14; n. def.
05-12-14; n. def.
04-12-14; n. def.
03-12-14; n. def.
02-12-14; n. def.
01-12-14; n. def.
30-11-14; n. def.
29-11-14; n. def.
28-11-14; n. def.
27-11-14; n. def.
26-11-14; n. def.
25-11-14; n. def.
24-11-14; n. def.
23-11-14; n. def.
22-11-14; n. def.
21-11-14; n. def.
20-11-14; n. def.
19-11-14; n. def.
18-11-14; n. def.
17-11-14; n. def.
16-11-14; n. def.
15-11-14; n. def.
14-11-14; n. def.
13-11-14; n. def.
12-11-14; n. def.
11-11-14; n. def.
10-11-14; n. def.
09-11-14; n. def.
08-11-14; n. def.
07-11-14; n. def.
06-11-14; n. def.
05-11-14; n. def.
04-11-14; n. def.
03-11-14; n. def.
02-11-14; n. def.
01-11-14; n. def.
31-10-14; n. def.
30-10-14; n. def.
29-10-14; n. def.
28-10-14; n. def.
27-10-14; n. def.
26-10-14; n. def.
25-10-14; n. def.
24-10-14; n. def.
23-10-14; n. def.
22-10-14; n. def.
21-10-14; n. def.
20-10-14; n. def.
19-10-14; n. def.
18-10-14; n. def.
17-10-14; n. def.
16-10-14; n. def.
15-10-14; n. def.
14-10-14; n. def.
13-10-14; n. def.
12-10-14; n. def.
11-10-14; n. def.
10-10-14; n. def.
09-10-14; n. def.
08-10-14; n. def.
07-10-14; n. def.
06-10-14; n. def.
05-10-14; n. def.
04-10-14; n. def.
03-10-14; n. def.
02-10-14; n. def.
01-10-14; n. def.
30-09-14; n. def.
29-09-14; n. def.
28-09-14; n. def.
27-09-14; n. def.
26-09-14; n. def.
25-09-14; n. def.
24-09-14; n. def.
23-09-14; n. def.
22-09-14; n. def.
21-09-14; n. def.
20-09-14; n. def.
19-09-14; n. def.
18-09-14; n. def.
17-09-14; n. def.
16-09-14; n. def.
15-09-14; n. def.
14-09-14; n. def.
13-09-14; n. def.
12-09-14; n. def.
11-09-14; n. def.
10-09-14; n. def.
09-09-14; n. def.
08-09-14; n. def.
07-09-14; n. def.
06-09-14; n. def.
05-09-14; n. def.
04-09-14; n. def.
03-09-14; n. def.
02-09-14; n. def.
01-09-14; n. def.
31-08-14; n. def.
30-08-14; n. def.
29-08-14; n. def.
28-08-14; n. def.
27-08-14; n. def.
26-08-14; n. def.
25-08-14; n. def.
24-08-14; n. def.
23-08-14; n. def.
22-08-14; n. def.
21-08-14; n. def.
20-08-14; n. def.
19-08-14; n. def.
18-08-14; n. def.
17-08-14; n. def.
16-08-14; n. def.
15-08-14; n. def.
14-08-14; n. def.
13-08-14; n. def.
12-08-14; n. def.
11-08-14; n. def.
10-08-14; n. def.
09-08-14; n. def.
08-08-14; n. def.
07-08-14; n. def.
06-08-14; n. def.
05-08-14; n. def.
04-08-14; n. def.
03-08-14; n. def.
02-08-14; n. def.
01-08-14; n. def.
31-07-14; n. def.
30-07-14; n. def.
29-07-14; n. def.
28-07-14; n. def.
27-07-14; n. def.
26-07-14; n. def.
25-07-14; n. def.
24-07-14; n. def.
23-07-14; n. def.
22-07-14; n. def.
21-07-14; n. def.
20-07-14; n. def.
19-07-14; n. def.
18-07-14; n. def.
17-07-14; n. def.
16-07-14; n. def.
15-07-14; n. def.
14-07-14; n. def.
13-07-14; n. def.
12-07-14; n. def.
11-07-14; n. def.
10-07-14; n. def.
09-07-14; n. def.
08-07-14; n. def.
07-07-14; n. def.
06-07-14; n. def.
05-07-14; n. def.
04-07-14; n. def.
03-07-14; n. def.
02-07-14; n. def.
01-07-14; n. def.
30-06-14; n. def.
29-06-14; n. def.
28-06-14; n. def.
27-06-14; n. def.
26-06-14; n. def.
25-06-14; n. def.
24-06-14; n. def.
23-06-14; n. def.
22-06-14; n. def.
21-06-14; n. def.
20-06-14; n. def.
19-06-14; n. def.
18-06-14; n. def.
17-06-14; n. def.
16-06-14; n. def.
15-06-14; n. def.
14-06-14; n. def.
13-06-14; n. def.
12-06-14; n. def.
11-06-14; n. def.
10-06-14; n. def.
09-06-14; n. def.
08-06-14; n. def.
07-06-14; n. def.
06-06-14; n. def.
05-06-14; n. def.
04-06-14; n. def.
03-06-14; n. def.
02-06-14; n. def.
01-06-14; n. def.
31-05-14; n. def.
30-05-14; n. def.
29-05-14; n. def.
28-05-14; n. def.
27-05-14; n. def.
26-05-14; n. def.
25-05-14; n. def.
24-05-14; n. def.
23-05-14; n. def.
22-05-14; n. def.
21-05-14; n. def.
20-05-14; n. def.
19-05-14; n. def.
18-05-14; n. def.
17-05-14; n. def.
16-05-14; n. def.
15-05-14; n. def.
14-05-14; n. def.
13-05-14; n. def.
12-05-14; n. def.
11-05-14; n. def.
10-05-14; n. def.
09-05-14; n. def.
08-05-14; n. def.
07-05-14; n. def.
06-05-14; n. def.
05-05-14; n. def.
04-05-14; n. def.
03-05-14; n. def.
02-05-14; n. def.
01-05-14; n. def.
30-04-14; n. def.
29-04-14; n. def.
28-04-14; n. def.
27-04-14; n. def.
26-04-14; n. def.
25-04-14; n. def.
24-04-14; n. def.
23-04-14; n. def.
22-04-14; n. def.
21-04-14; n. def.
20-04-14; n. def.
19-04-14; n. def.
18-04-14; n. def.
17-04-14; n. def.
16-04-14; n. def.
15-04-14; n. def.
14-04-14; n. def.
13-04-14; n. def.
12-04-14; n. def.
11-04-14; n. def.
10-04-14; n. def.
09-04-14; n. def.
08-04-14; n. def.
07-04-14; n. def.
06-04-14; n. def.
05-04-14; n. def.
04-04-14; n. def.
03-04-14; n. def.
02-04-14; n. def.
01-04-14; n. def.
31-03-14; n. def.
30-03-14; n. def.
29-03-14; n. def.
28-03-14; n. def.
27-03-14; n. def.
26-03-14; n. def.
25-03-14; n. def.
24-03-14; n. def.
23-03-14; n. def.
22-03-14; n. def.
21-03-14; n. def.
20-03-14; n. def.
19-03-14; n. def.
18-03-14; n. def.
17-03-14; n. def.
16-03-14; n. def.
15-03-14; n. def.
14-03-14; n. def.
13-03-14; n. def.
12-03-14; n. def.
11-03-14; n. def.
10-03-14; n. def.
09-03-14; n. def.
08-03-14; n. def.
07-03-14; n. def.
06-03-14; n. def.
05-03-14; n. def.
04-03-14; n. def.
03-03-14; n. def.
02-03-14; n. def.
01-03-14; n. def.
28-02-14; n. def.
27-02-14; n. def.
26-02-14; n. def.
25-02-14; n. def.
24-02-14; n. def.
23-02-14; n. def.
22-02-14; n. def.
21-02-14; n. def.
20-02-14; n. def.
19-02-14; n. def.
18-02-14; n. def.
17-02-14; n. def.
16-02-14; n. def.
15-02-14; n. def.
14-02-14; n. def.
13-02-14; n. def.
12-02-14; n. def.
11-02-14; n. def.
10-02-14; n. def.
09-02-14; n. def.
08-02-14; n. def.
07-02-14; n. def.
06-02-14; n. def.
05-02-14; n. def.
04-02-14; n. def.
03-02-14; n. def.
02-02-14; n. def.
01-02-14; n. def.
31-01-14; n. def.
30-01-14; n. def.
29-01-14; n. def.
28-01-14; n. def.
