MESS_DATUM;WEEK_DAY;LUFTTEMPERATUR1;LUFTTEMPERATUR2;LUFTTEMPERATUR3;REL_FEUCHTE1;REL_FEUCHTE2;REL_FEUCHTE3;WINDGESCHWINDIGKEIT1;WINDGESCHWINDIGKEIT2;WINDGESCHWINDIGKEIT3;WINDRICHTUNG1;WINDRICHTUNG2;WINDRICHTUNG3
2015-04-21;Y;7.733333;;;69.0;;;4.0666666;;;256.66666;;
2015-04-22;Y;6.233333;7.733333;;75.0;69.0;;4.1666665;4.0666666;;286.66666;256.66666;
2015-04-23;Y;4.733333;6.233333;7.733333;84.333336;75.0;69.0;2.1;4.1666665;4.0666666;173.33333;286.66666;256.66666
2015-04-24;Y;7.4666667;4.733333;6.233333;82.333336;84.333336;75.0;3.3;2.1;4.1666665;173.33333;173.33333;286.66666
2015-04-25;N;11.266666;7.4666667;4.733333;67.666664;82.333336;84.333336;4.766667;3.3;2.1;170.0;173.33333;173.33333
2015-04-26;N;15.033334;11.266666;7.4666667;71.0;67.666664;82.333336;2.9;4.766667;3.3;253.33333;170.0;173.33333
2015-04-27;Y;14.066667;15.033334;11.266666;78.0;71.0;67.666664;4.8;2.9;4.766667;136.66667;253.33333;170.0
2015-04-28;Y;6.7;14.066667;15.033334;88.0;78.0;71.0;3.6666667;4.8;2.9;316.66666;136.66667;253.33333
2015-04-29;Y;5.9;6.7;14.066667;82.0;88.0;78.0;2.6;3.6666667;4.8;223.33333;316.66666;136.66667
2015-04-30;Y;8.933333;5.9;6.7;62.333332;82.0;88.0;6.233333;2.6;3.6666667;153.33333;223.33333;316.66666
2015-05-01;Y;7.9333334;8.933333;5.9;88.666664;62.333332;82.0;2.7333333;6.233333;2.6;273.33334;153.33333;223.33333
2015-05-02;N;6.6;7.9333334;8.933333;82.333336;88.666664;62.333332;1.6333333;2.7333333;6.233333;266.66666;273.33334;153.33333
2015-05-03;N;9.266666;6.6;7.9333334;67.333336;82.333336;88.666664;4.633333;1.6333333;2.7333333;140.0;266.66666;273.33334
