Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-01,00:30,,0,0,0,,10.13,
2016-10-01,01:00,,15,40,,19,,
2016-10-01,01:30,,0,0,0,,,
2016-10-01,02:00,,12,30,,19,,
2016-10-01,02:30,,0,0,0,,,
2016-10-01,03:00,,6,22,,19,,
2016-10-01,03:30,,0,0,0,,,
2016-10-01,04:00,,6,18,,19,,
2016-10-01,04:30,,0,0,0,,,
2016-10-01,05:00,,19,19,,19,,
2016-10-01,05:30,,0,0,0,,,
2016-10-01,06:00,,24,25,,19,,
2016-10-01,06:30,,0,0,0,,,
2016-10-01,07:00,,32,31,,19,,
2016-10-01,07:30,,0,0,0,,,
2016-10-01,08:00,,19,22,,19,,
2016-10-01,08:30,,0,0,0,,,
2016-10-01,09:00,,44,35,,19,,
2016-10-01,09:30,,0,0,0,,,
2016-10-01,10:00,,61,54,,19,,
2016-10-01,10:30,,0,0,0,,,
2016-10-01,11:00,,71,67,,19,,
2016-10-01,11:30,,0,0,0,,,
2016-10-01,12:00,,50,74,,19,,
2016-10-01,12:30,,0,0,0,,,
2016-10-01,13:00,,51,59,,19,,
2016-10-01,13:30,,0,0,0,,,
2016-10-01,14:00,,67,80,,19,,
2016-10-01,14:30,,0,0,0,,,
2016-10-01,15:00,,61,86,,19,,
2016-10-01,15:30,,0,0,0,,,
2016-10-01,16:00,,66,80,,19,,
2016-10-01,16:30,,0,0,0,,,
2016-10-01,17:00,,41,52,,19,,
2016-10-01,17:30,,0,0,0,,,
2016-10-01,18:00,,53,56,,19,,
2016-10-01,18:30,,0,0,0,,,
2016-10-01,19:00,,51,59,,19,,
2016-10-01,19:30,,0,0,0,,,
2016-10-01,20:00,,27,48,,19,,
2016-10-01,20:30,,0,0,0,,,
2016-10-01,21:00,,21,43,,19,,
2016-10-01,21:30,,0,0,0,,,
2016-10-01,22:00,,13,35,,19,,
2016-10-01,22:30,,0,0,0,,,
2016-10-01,23:00,,10,27,,19,,
2016-10-01,23:30,,0,0,0,,,
2016-10-02,00:00,,9,19,,19,,
2016-10-02,00:30,,0,0,0,,4.41,
2016-10-02,01:00,,5,15,,9,,
2016-10-02,01:30,,0,0,0,,,
2016-10-02,02:00,,4,11,,9,,
2016-10-02,02:30,,0,0,0,,,
2016-10-02,03:00,,5,14,,9,,
2016-10-02,03:30,,0,0,0,,,
2016-10-02,04:00,,4,9,,9,,
2016-10-02,04:30,,0,0,0,,,
2016-10-02,05:00,,5,12,,9,,
2016-10-02,05:30,,0,0,0,,,
2016-10-02,06:00,,10,22,,9,,
2016-10-02,06:30,,0,0,0,,,
2016-10-02,07:00,,11,18,,9,,
2016-10-02,07:30,,0,0,0,,,
2016-10-02,08:00,,21,28,,9,,
2016-10-02,08:30,,0,0,0,,,
2016-10-02,09:00,,24,31,,9,,
2016-10-02,09:30,,0,0,0,,,
2016-10-02,10:00,,22,32,,9,,
2016-10-02,10:30,,0,0,0,,,
2016-10-02,11:00,,25,22,,9,,
2016-10-02,11:30,,0,0,0,,,
2016-10-02,12:00,,23,18,,9,,
2016-10-02,12:30,,0,0,0,,,
2016-10-02,13:00,,30,24,,9,,
2016-10-02,13:30,,0,0,0,,,
2016-10-02,14:00,,47,41,,9,,
2016-10-02,14:30,,0,0,0,,,
2016-10-02,15:00,,44,44,,9,,
2016-10-02,15:30,,0,0,0,,,
2016-10-02,16:00,,39,40,,9,,
2016-10-02,16:30,,0,0,0,,,
2016-10-02,17:00,,59,50,,9,,
