Datum,Zeit,BEN,NO,NO2,O3,PM10_Pb,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2016-07-23,11:30,0.0,0,0,,,,
2016-07-23,12:00,,,,108,,0.00,0.0
2016-07-23,12:30,0.0,0,0,,,,
2016-07-23,13:00,,,,112,,0.00,0.0
2016-07-23,13:30,0.0,0,0,,,,
2016-07-23,14:00,,,,116,,0.00,0.0
2016-07-23,14:30,0.0,0,0,,,,
2016-07-23,15:00,,,,120,,0.00,0.0
2016-07-23,15:30,0.0,0,0,,,,
2016-07-23,16:00,,,,122,,0.00,0.0
2016-07-23,16:30,0.0,0,0,,,,
2016-07-23,17:00,,,,116,,0.00,0.0
2016-07-23,17:30,0.0,0,0,,,,
2016-07-23,18:00,,,,98,,0.00,0.0
2016-07-23,18:30,0.0,0,0,,,,
2016-07-23,19:00,,,,86,,0.00,0.0
2016-07-23,19:30,0.0,0,0,,,,
2016-07-23,20:00,,,,67,,0.00,0.0
2016-07-23,20:30,0.0,0,0,,,,
2016-07-23,21:00,,,,55,,0.00,0.0
2016-07-23,21:30,0.0,0,0,,,,
2016-07-23,22:00,,,,56,,0.00,0.0
2016-07-23,22:30,0.0,0,0,,,,
2016-07-23,23:00,,,,51,,0.00,0.0
2016-07-23,23:30,0.0,0,0,,,,
2016-07-24,00:00,,,,59,,0.00,0.0
2016-07-24,00:30,0.0,0,0,,,,
2016-07-24,01:00,,,,59,,0.00,0.0
2016-07-24,01:30,0.0,0,0,,,,
2016-07-24,02:00,,,,52,,0.00,0.0
2016-07-24,02:30,0.0,0,0,,,,
2016-07-24,03:00,,,,49,,0.00,0.0
2016-07-24,03:30,0.0,0,0,,,,
2016-07-24,04:00,,,,42,,0.00,0.0
2016-07-24,04:30,0.0,0,0,,,,
2016-07-24,05:00,,,,45,,0.00,0.0
2016-07-24,05:30,0.0,0,0,,,,
2016-07-24,06:00,,,,38,,0.00,0.0
2016-07-24,06:30,0.0,0,0,,,,
2016-07-24,07:00,,,,36,,0.00,0.0
2016-07-24,07:30,0.0,0,0,,,,
2016-07-24,08:00,,,,49,,0.00,0.0
2016-07-24,08:30,0.0,0,0,,,,
2016-07-24,09:00,,,,59,,0.00,0.0
2016-07-24,09:30,0.0,0,0,,,,
