Datum,Zeit,BEN,NO,NO2,O3,PM10_Pb,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2016-07-23,11:30,,,,,,,0.0
2016-07-23,12:00,,1,7,103,,,
2016-07-23,12:30,,,,,,,0.0
2016-07-23,13:00,,1,4,108,,,
2016-07-23,13:30,,,,,,,0.0
2016-07-23,14:00,,1,5,115,,,
2016-07-23,14:30,,,,,,,0.0
2016-07-23,15:00,,1,5,115,,,
2016-07-23,15:30,,,,,,,0.0
2016-07-23,16:00,,1,7,114,,,
2016-07-23,16:30,,,,,,,0.0
2016-07-23,17:00,,1,13,109,,,
2016-07-23,17:30,,,,,,,0.0
2016-07-23,18:00,,1,19,93,,,
2016-07-23,18:30,,,,,,,0.0
2016-07-23,19:00,,1,11,92,,,
2016-07-23,19:30,,,,,,,0.0
2016-07-23,20:00,,1,10,79,,,
2016-07-23,20:30,,,,,,,0.0
2016-07-23,21:00,,1,18,50,,,
2016-07-23,21:30,,,,,,,0.0
2016-07-23,22:00,,1,19,34,,,
2016-07-23,22:30,,,,,,,0.0
2016-07-23,23:00,,1,14,38,,,
2016-07-23,23:30,,,,,,,0.0
2016-07-24,00:00,,1,14,29,,,
2016-07-24,00:30,,,,,,13.19,0.0
2016-07-24,01:00,,1,13,30,,,
2016-07-24,01:30,,,,,,,0.0
2016-07-24,02:00,,1,8,45,,,
2016-07-24,02:30,,,,,,,0.0
2016-07-24,03:00,,1,6,47,,,
2016-07-24,03:30,,,,,,,0.0
2016-07-24,04:00,,1,6,39,,,
2016-07-24,04:30,,,,,,,0.0
2016-07-24,05:00,,1,6,39,,,
2016-07-24,05:30,,,,,,,0.0
2016-07-24,06:00,,1,5,39,,,
2016-07-24,06:30,,,,,,,0.0
2016-07-24,07:00,,1,5,33,,,
2016-07-24,07:30,,,,,,,0.0
2016-07-24,08:00,,1,6,44,,,
2016-07-24,08:30,,,,,,,0.0
2016-07-24,09:00,,1,5,56,,,
2016-07-24,09:30,,,,,,,0.0
2016-07-24,10:00,,1,4,71,,,
2016-07-24,10:30,,,,,,,0.0
2016-07-24,11:00,,1,3,86,,,
2016-07-24,11:30,,,,,,,0.0
2016-07-24,12:00,,1,2,88,,,
2016-07-24,12:30,,,,,,,0.0
2016-07-24,13:00,,1,3,87,,,
2016-07-24,13:30,,,,,,,0.0
2016-07-24,14:00,,1,5,92,,,
2016-07-24,14:30,,,,,,,0.0
2016-07-24,15:00,,1,3,98,,,
2016-07-24,15:30,,,,,,,0.0
2016-07-24,16:00,,1,4,99,,,
2016-07-24,16:30,,,,,,,0.0
2016-07-24,17:00,,1,4,98,,,
2016-07-24,17:30,,,,,,,0.0
2016-07-24,18:00,,1,5,95,,,
2016-07-24,18:30,,,,,,,0.0
2016-07-24,19:00,,1,5,90,,,
2016-07-24,19:30,,,,,,,0.0
2016-07-24,20:00,,1,5,85,,,
2016-07-24,20:30,,,,,,,0.0
2016-07-24,21:00,,1,8,70,,,
2016-07-24,21:30,,,,,,,0.0
2016-07-24,22:00,,1,9,51,,,
2016-07-24,22:30,,,,,,,0.0
2016-07-24,23:00,,1,11,33,,,
2016-07-24,23:30,,,,,,,0.0
2016-07-25,00:00,,1,11,23,,,
2016-07-25,00:30,,,,,,16.36,0.0
2016-07-25,01:00,,1,15,19,,,
2016-07-25,01:30,,,,,,,0.0
2016-07-25,02:00,,1,12,15,,,
2016-07-25,02:30,,,,,,,0.0
2016-07-25,03:00,,1,12,8,,,
2016-07-25,03:30,,,,,,,0.0
2016-07-25,04:00,,1,10,9,,,
2016-07-25,04:30,,,,,,,0.0
2016-07-25,05:00,,1,12,9,,,
2016-07-25,05:30,,,,,,,0.0
2016-07-25,06:00,,2,12,12,,,
2016-07-25,06:30,,,,,,,0.0
2016-07-25,07:00,,6,16,11,,,
2016-07-25,07:30,,,,,,,0.0
2016-07-25,08:00,,13,21,16,,,
2016-07-25,08:30,,,,,,,0.0
2016-07-25,09:00,,12,28,33,,,
2016-07-25,09:30,,,,,,,0.0
2016-07-25,10:00,,3,17,76,,,
2016-07-25,10:30,,,,,,,0.0
2016-07-25,11:00,,1,9,106,,,
2016-07-25,11:30,,,,,,,0.0
2016-07-25,12:00,,1,10,114,,,
2016-07-25,12:30,,,,,,,0.0
2016-07-25,13:00,,1,10,122,,,
2016-07-25,13:30,,,,,,,0.0
2016-07-25,14:00,,1,7,131,,,
2016-07-25,14:30,,,,,,,0.0
2016-07-25,15:00,,1,6,126,,,
2016-07-25,15:30,,,,,,,0.0
2016-07-25,16:00,,1,6,124,,,
2016-07-25,16:30,,,,,,,0.0
2016-07-25,17:00,,1,6,125,,,
2016-07-25,17:30,,,,,,,0.0
2016-07-25,18:00,,1,10,123,,,
2016-07-25,18:30,,,,,,,0.0
2016-07-25,19:00,,1,7,119,,,
2016-07-25,19:30,,,,,,,0.0
2016-07-25,20:00,,1,24,87,,,
2016-07-25,20:30,,,,,,,0.0
2016-07-25,21:00,,1,27,71,,,
2016-07-25,21:30,,,,,,,0.0
2016-07-25,22:00,,1,23,58,,,
2016-07-25,22:30,,,,,,,0.0
2016-07-25,23:00,,1,21,55,,,
2016-07-25,23:30,,,,,,,0.0
2016-07-26,00:00,,1,19,49,,,
2016-07-26,00:30,,,,,,17.03,0.0
2016-07-26,01:00,,1,20,37,,,
2016-07-26,01:30,,,,,,,0.0
2016-07-26,02:00,,1,16,22,,,
2016-07-26,02:30,,,,,,,0.0
2016-07-26,03:00,,1,14,19,,,
2016-07-26,03:30,,,,,,,0.0
2016-07-26,04:00,,1,13,22,,,
2016-07-26,04:30,,,,,,,0.0
2016-07-26,05:00,,2,21,12,,,
2016-07-26,05:30,,,,,,,0.0
2016-07-26,06:00,,3,22,10,,,
2016-07-26,06:30,,,,,,,0.0
2016-07-26,07:00,,9,29,10,,,
2016-07-26,07:30,,,,,,,0.0
2016-07-26,08:00,,20,36,14,,,
2016-07-26,08:30,,,,,,,0.0
2016-07-26,09:00,,2,16,65,,,
2016-07-26,09:30,,,,,,,0.0
2016-07-26,10:00,,1,13,78,,,
2016-07-26,10:30,,,,,,,0.0
2016-07-26,11:00,,3,14,89,,,
2016-07-26,11:30,,,,,,,0.0
2016-07-26,12:00,,1,6,108,,,
2016-07-26,12:30,,,,,,,0.0
2016-07-26,13:00,,1,6,114,,,
2016-07-26,13:30,,,,,,,0.0
2016-07-26,14:00,,2,11,105,,,
2016-07-26,14:30,,,,,,,0.0
2016-07-26,15:00,,1,8,110,,,
2016-07-26,15:30,,,,,,,0.0
2016-07-26,16:00,,1,6,115,,,
2016-07-26,16:30,,,,,,,0.0
2016-07-26,17:00,,1,6,116,,,
2016-07-26,17:30,,,,,,,0.0
2016-07-26,18:00,,1,8,111,,,
2016-07-26,18:30,,,,,,,0.0
2016-07-26,19:00,,1,8,108,,,
2016-07-26,19:30,,,,,,,0.0
2016-07-26,20:00,,1,12,95,,,
2016-07-26,20:30,,,,,,,0.0
2016-07-26,21:00,,1,14,84,,,
2016-07-26,21:30,,,,,,,0.0
2016-07-26,22:00,,1,18,69,,,
2016-07-26,22:30,,,,,,,0.0
2016-07-26,23:00,,1,19,47,,,
2016-07-26,23:30,,,,,,,0.0
2016-07-27,00:00,,1,17,41,,,
2016-07-27,00:30,,,,,,12.55,0.0
2016-07-27,01:00,,1,17,34,,,
2016-07-27,01:30,,,,,,,0.0
2016-07-27,02:00,,1,18,27,,,
2016-07-27,02:30,,,,,,,0.0
2016-07-27,03:00,,1,16,23,,,
2016-07-27,03:30,,,,,,,0.0
2016-07-27,04:00,,1,14,19,,,
2016-07-27,04:30,,,,,,,0.0
2016-07-27,05:00,,1,16,14,,,
2016-07-27,05:30,,,,,,,0.0
2016-07-27,06:00,,3,23,8,,,
2016-07-27,06:30,,,,,,,0.0
2016-07-27,07:00,,7,26,7,,,
2016-07-27,07:30,,,,,,,0.0
2016-07-27,08:00,,5,23,18,,,
2016-07-27,08:30,,,,,,,0.0
2016-07-27,09:00,,3,16,39,,,
2016-07-27,09:30,,,,,,,0.0
2016-07-27,10:00,,2,16,47,,,
2016-07-27,10:30,,,,,,,0.0
2016-07-27,11:00,,2,23,37,,,
2016-07-27,11:30,,,,,,,0.0
2016-07-27,12:00,,4,18,60,,,
2016-07-27,12:30,,,,,,,0.0
2016-07-27,13:00,,1,10,97,,,
2016-07-27,13:30,,,,,,,0.0
2016-07-27,14:00,,1,11,102,,,
2016-07-27,14:30,,,,,,,0.0
2016-07-27,15:00,,1,19,81,,,
2016-07-27,15:30,,,,,,,0.0
2016-07-27,16:00,,2,30,58,,,
2016-07-27,16:30,,,,,,,0.0
2016-07-27,17:00,,1,15,74,,,
2016-07-27,17:30,,,,,,,0.0
2016-07-27,18:00,,1,20,63,,,
2016-07-27,18:30,,,,,,,0.0
2016-07-27,19:00,,1,14,65,,,
2016-07-27,19:30,,,,,,,0.0
2016-07-27,20:00,,1,18,52,,,
2016-07-27,20:30,,,,,,,0.0
2016-07-27,21:00,,1,20,36,,,
2016-07-27,21:30,,,,,,,0.0
2016-07-27,22:00,,1,18,19,,,
2016-07-27,22:30,,,,,,,0.0
