Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-01,01:00,,,,5,11,,
2016-10-01,02:00,,,,3,10,,
2016-10-01,03:00,,,,3,11,,
2016-10-01,04:00,,,,4,13,,
2016-10-01,05:00,,,,5,15,,
2016-10-01,06:00,,,,23,14,,
2016-10-01,07:00,,,,31,16,,
2016-10-01,08:00,,,,34,16,,
2016-10-01,09:00,,,,44,15,,
2016-10-01,10:00,,,,58,15,,
2016-10-01,11:00,,,,72,12,,
2016-10-01,12:00,,,,79,11,,
2016-10-01,13:00,,,,91,13,,
2016-10-01,14:00,,,,93,10,,
2016-10-01,15:00,,,,84,11,,
2016-10-01,16:00,,,,75,11,,
2016-10-01,17:00,,,,78,10,,
2016-10-01,18:00,,,,77,11,,
2016-10-01,19:00,,,,80,8,,
2016-10-01,20:00,,,,78,6,,
2016-10-01,21:00,,,,77,3,,
2016-10-01,22:00,,,,71,3,,
2016-10-01,23:00,,,,61,4,,
2016-10-02,00:00,,,,59,3,,
2016-10-02,01:00,,,,53,3,,
2016-10-02,02:00,,,,50,3,,
2016-10-02,03:00,,,,47,4,,
2016-10-02,04:00,,,,49,4,,
2016-10-02,05:00,,,,45,4,,
2016-10-02,06:00,,,,42,4,,
2016-10-02,07:00,,,,45,3,,
2016-10-02,08:00,,,,45,5,,
2016-10-02,09:00,,,,55,4,,
2016-10-02,10:00,,,,55,4,,
2016-10-02,11:00,,,,58,4,,
2016-10-02,12:00,,,,59,4,,
2016-10-02,13:00,,,,58,2,,
2016-10-02,14:00,,,,67,1,,
2016-10-02,15:00,,,,65,0,,
2016-10-02,16:00,,,,59,1,,
2016-10-02,17:00,,,,59,0,,
2016-10-02,18:00,,,,53,1,,
2016-10-02,19:00,,,,38,4,,
2016-10-02,20:00,,,,33,5,,
2016-10-02,21:00,,,,28,5,,
2016-10-02,22:00,,,,28,4,,
2016-10-02,23:00,,,,29,5,,
2016-10-03,00:00,,,,40,4,,
2016-10-03,01:00,,,,48,5,,
2016-10-03,02:00,,,,50,3,,
2016-10-03,03:00,,,,51,2,,
2016-10-03,04:00,,,,48,3,,
2016-10-03,05:00,,,,43,2,,
2016-10-03,06:00,,,,44,1,,
2016-10-03,07:00,,,,45,1,,
2016-10-03,08:00,,,,46,2,,
2016-10-03,09:00,,,,45,1,,
2016-10-03,10:00,,,,48,2,,
2016-10-03,11:00,,,,55,2,,
2016-10-03,12:00,,,,64,1,,
2016-10-03,13:00,,,,65,2,,
2016-10-03,14:00,,,,62,2,,
2016-10-03,15:00,,,,59,1,,
2016-10-03,16:00,,,,50,3,,
2016-10-03,17:00,,,,46,1,,
2016-10-03,18:00,,,,45,2,,
2016-10-03,19:00,,,,45,2,,
2016-10-03,20:00,,,,47,3,,
2016-10-03,21:00,,,,42,2,,
2016-10-03,22:00,,,,43,6,,
2016-10-03,23:00,,,,43,7,,
2016-10-04,00:00,,,,41,7,,
2016-10-04,01:00,,,,39,7,,
2016-10-04,02:00,,,,38,7,,
2016-10-04,03:00,,,,43,5,,
2016-10-04,04:00,,,,41,3,,
2016-10-04,05:00,,,,46,1,,
2016-10-04,06:00,,,,40,1,,
2016-10-04,07:00,,,,36,0,,
2016-10-04,08:00,,,,38,1,,
2016-10-04,09:00,,,,50,0,,
2016-10-04,10:00,,,,49,0,,
2016-10-04,11:00,,,,51,2,,
2016-10-04,12:00,,,,49,2,,
2016-10-04,13:00,,,,51,2,,
2016-10-04,14:00,,,,56,6,,
2016-10-04,15:00,,,,59,5,,
2016-10-04,16:00,,,,63,6,,
2016-10-04,17:00,,,,61,5,,
2016-10-04,18:00,,,,56,6,,
2016-10-04,19:00,,,,32,6,,
2016-10-04,20:00,,,,21,5,,
2016-10-04,21:00,,,,14,3,,
2016-10-04,22:00,,,,10,7,,
2016-10-04,23:00,,,,13,6,,
2016-10-05,00:00,,,,32,6,,
2016-10-05,01:00,,,,42,6,,
2016-10-05,02:00,,,,49,4,,
2016-10-05,03:00,,,,51,3,,
2016-10-05,04:00,,,,51,4,,
2016-10-05,05:00,,,,45,4,,
2016-10-05,06:00,,,,38,7,,
2016-10-05,07:00,,,,39,5,,
2016-10-05,08:00,,,,37,4,,
2016-10-05,09:00,,,,38,3,,
2016-10-05,10:00,,,,32,2,,
2016-10-05,11:00,,,,36,1,,
2016-10-05,12:00,,,,42,5,,
2016-10-05,13:00,,,,40,4,,
2016-10-05,14:00,,,,44,2,,
2016-10-05,15:00,,,,47,3,,
2016-10-05,16:00,,,,43,3,,
2016-10-05,17:00,,,,44,4,,
2016-10-05,18:00,,,,43,2,,
2016-10-05,19:00,,,,48,0,,
2016-10-05,20:00,,,,48,0,,
2016-10-05,21:00,,,,51,0,,
2016-10-05,22:00,,,,51,0,,
2016-10-05,23:00,,,,51,0,,
2016-10-06,00:00,,,,50,0,,
2016-10-06,01:00,,,,52,0,,
2016-10-06,02:00,,,,52,0,,
2016-10-06,03:00,,,,52,1,,
2016-10-06,04:00,,,,51,1,,
2016-10-06,05:00,,,,50,1,,
2016-10-06,06:00,,,,47,1,,
2016-10-06,07:00,,,,43,1,,
2016-10-06,08:00,,,,40,0,,
2016-10-06,09:00,,,,38,0,,
2016-10-06,10:00,,,,36,2,,
2016-10-06,11:00,,,,33,1,,
2016-10-06,12:00,,,,31,0,,
2016-10-06,13:00,,,,34,0,,
2016-10-06,14:00,,,,35,1,,
2016-10-06,15:00,,,,35,1,,
2016-10-06,16:00,,,,32,1,,
2016-10-06,17:00,,,,33,0,,
2016-10-06,18:00,,,,38,1,,
2016-10-06,19:00,,,,35,0,,
2016-10-06,20:00,,,,36,1,,
2016-10-06,21:00,,,,36,1,,
2016-10-06,22:00,,,,35,1,,
2016-10-06,23:00,,,,33,2,,
2016-10-07,00:00,,,,31,1,,
2016-10-07,01:00,,,,28,1,,
2016-10-07,02:00,,,,24,1,,
2016-10-07,03:00,,,,20,0,,
2016-10-07,04:00,,,,16,0,,
2016-10-07,05:00,,,,14,1,,
2016-10-07,06:00,,,,10,1,,
2016-10-07,07:00,,,,4,1,,
2016-10-07,08:00,,,,6,0,,
2016-10-07,09:00,,,,7,1,,
2016-10-07,10:00,,,,7,4,,
2016-10-07,11:00,,,,10,2,,
2016-10-07,12:00,,,,10,2,,
2016-10-07,13:00,,,,12,1,,
2016-10-07,14:00,,,,14,4,,
2016-10-07,15:00,,,,14,4,,
2016-10-07,16:00,,,,12,3,,
2016-10-07,17:00,,,,15,4,,
2016-10-07,18:00,,,,14,4,,
2016-10-07,19:00,,,,11,5,,
2016-10-07,20:00,,,,9,4,,
2016-10-07,21:00,,,,7,7,,
2016-10-07,22:00,,,,4,7,,
2016-10-07,23:00,,,,6,9,,
2016-10-08,00:00,,,,4,2,,
2016-10-08,01:00,,,,3,4,,
2016-10-08,02:00,,,,9,6,,
2016-10-08,03:00,,,,13,3,,
2016-10-08,04:00,,,,35,2,,
2016-10-08,05:00,,,,36,4,,
2016-10-08,06:00,,,,38,6,,
2016-10-08,07:00,,,,32,4,,
2016-10-08,08:00,,,,35,3,,
2016-10-08,09:00,,,,43,3,,
2016-10-08,10:00,,,,47,3,,
2016-10-08,11:00,,,,47,3,,
2016-10-08,12:00,,,,43,0,,
2016-10-08,13:00,,,,47,0,,
2016-10-08,14:00,,,,48,1,,
2016-10-08,15:00,,,,45,1,,
2016-10-08,16:00,,,,46,2,,
2016-10-08,17:00,,,,42,3,,
2016-10-08,18:00,,,,36,1,,
2016-10-08,19:00,,,,31,2,,
2016-10-08,20:00,,,,28,2,,
2016-10-08,21:00,,,,30,2,,
2016-10-08,22:00,,,,40,1,,
2016-10-08,23:00,,,,38,1,,
2016-10-09,00:00,,,,39,0,,
2016-10-09,01:00,,,,39,1,,
2016-10-09,02:00,,,,38,1,,
2016-10-09,03:00,,,,37,0,,
2016-10-09,04:00,,,,39,1,,
2016-10-09,05:00,,,,38,5,,
2016-10-09,06:00,,,,42,4,,
2016-10-09,07:00,,,,35,3,,
2016-10-09,08:00,,,,39,4,,
2016-10-09,09:00,,,,41,,,
2016-10-09,10:00,,,,43,0,,
2016-10-09,11:00,,,,44,0,,
2016-10-09,12:00,,,,54,4,,
2016-10-09,13:00,,,,57,4,,
2016-10-09,14:00,,,,61,2,,
2016-10-09,15:00,,,,64,2,,
2016-10-09,16:00,,,,63,4,,
2016-10-09,17:00,,,,57,3,,
2016-10-09,18:00,,,,42,2,,
2016-10-09,19:00,,,,16,3,,
2016-10-09,20:00,,,,12,5,,
2016-10-09,21:00,,,,7,1,,
2016-10-09,22:00,,,,2,2,,
2016-10-09,23:00,,,,2,5,,
2016-10-10,00:00,,,,3,1,,
2016-10-10,01:00,,,,3,1,,
2016-10-10,02:00,,,,4,5,,
2016-10-10,03:00,,,,4,5,,
2016-10-10,04:00,,,,6,1,,
2016-10-10,05:00,,,,4,1,,
2016-10-10,06:00,,,,3,4,,
2016-10-10,07:00,,,,3,0,,
2016-10-10,08:00,,,,4,0,,
2016-10-10,09:00,,,,9,2,,
2016-10-10,10:00,,,,15,4,,
2016-10-10,11:00,,,,37,2,,
2016-10-10,12:00,,,,50,8,,
2016-10-10,13:00,,,,54,4,,
2016-10-10,14:00,,,,46,5,,
2016-10-10,15:00,,,,42,2,,
2016-10-10,16:00,,,,39,2,,
2016-10-10,17:00,,,,26,0,,
2016-10-10,18:00,,,,20,1,,
2016-10-10,19:00,,,,15,,,
2016-10-10,20:00,,,,13,,,
2016-10-10,21:00,,,,10,7,,
2016-10-10,22:00,,,,5,6,,
2016-10-10,23:00,,,,2,8,,
2016-10-11,00:00,,,,1,8,,
2016-10-11,01:00,,,,1,7,,
2016-10-11,02:00,,,,1,4,,
2016-10-11,03:00,,,,1,8,,
2016-10-11,04:00,,,,2,9,,
2016-10-11,05:00,,,,5,10,,
2016-10-11,06:00,,,,10,7,,
2016-10-11,07:00,,,,20,6,,
2016-10-11,08:00,,,,20,4,,
2016-10-11,09:00,,,,19,5,,
2016-10-11,10:00,,,,34,5,,
2016-10-11,11:00,,,,41,2,,
2016-10-11,12:00,,,,38,4,,
2016-10-11,13:00,,,,40,4,,
2016-10-11,14:00,,,,47,5,,
2016-10-11,15:00,,,,38,9,,
2016-10-11,16:00,,,,33,8,,
2016-10-11,17:00,,,,29,5,,
2016-10-11,18:00,,,,27,6,,
2016-10-11,19:00,,,,26,5,,
2016-10-11,20:00,,,,20,8,,
2016-10-11,21:00,,,,17,10,,
2016-10-11,22:00,,,,26,9,,
2016-10-11,23:00,,,,32,9,,
2016-10-12,00:00,,,,30,9,,
2016-10-12,01:00,,,,29,11,,
2016-10-12,02:00,,,,24,9,,
2016-10-12,03:00,,,,22,8,,
2016-10-12,04:00,,,,19,4,,
2016-10-12,05:00,,,,11,4,,
2016-10-12,06:00,,,,3,1,,
2016-10-12,07:00,,,,2,0,,
2016-10-12,08:00,,,,3,0,,
2016-10-12,09:00,,,,5,1,,
2016-10-12,10:00,,,,5,2,,
2016-10-12,11:00,,,,8,2,,
2016-10-12,12:00,,,,7,2,,
2016-10-12,13:00,,,,7,1,,
2016-10-12,14:00,,,,6,2,,
2016-10-12,15:00,,,,7,6,,
2016-10-12,16:00,,,,6,7,,
2016-10-12,17:00,,,,8,5,,
2016-10-12,18:00,,,,8,4,,
2016-10-12,19:00,,,,5,3,,
2016-10-12,20:00,,,,5,2,,
2016-10-12,21:00,,,,6,1,,
2016-10-12,22:00,,,,5,3,,
2016-10-12,23:00,,,,6,1,,
2016-10-13,00:00,,,,6,0,,
2016-10-13,01:00,,,,7,1,,
