Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-01,00:30,0.0,0,,,,,
2016-10-01,01:00,1.3,16,15,7,13,0.00,0.0
2016-10-01,01:30,0.0,0,,,,,
2016-10-01,02:00,0.6,9,13,5,13,0.00,0.0
2016-10-01,02:30,0.0,0,,,,,
2016-10-01,03:00,1.0,13,12,3,13,0.00,0.0
2016-10-01,03:30,0.0,0,,,,,
2016-10-01,04:00,0.8,22,12,2,13,0.00,0.0
2016-10-01,04:30,0.0,0,,,,,
2016-10-01,05:00,0.9,16,14,3,13,0.00,0.0
2016-10-01,05:30,0.0,0,,,,,
2016-10-01,06:00,0.8,4,14,2,13,0.00,0.0
2016-10-01,06:30,0.0,0,,,,,
2016-10-01,07:00,0.8,10,17,3,13,0.00,0.0
2016-10-01,07:30,0.0,0,,,,,
2016-10-01,08:00,0.5,15,21,4,13,0.00,0.0
2016-10-01,08:30,0.0,0,,,,,
2016-10-01,09:00,0.5,18,23,9,13,0.00,0.0
2016-10-01,09:30,0.0,0,,,,,
2016-10-01,10:00,0.7,16,22,8,13,0.00,0.0
2016-10-01,10:30,0.0,0,,,,,
2016-10-01,11:00,0.9,15,26,7,13,0.00,0.0
2016-10-01,11:30,0.0,0,,,,,
2016-10-01,12:00,1.2,13,27,8,13,0.00,0.0
2016-10-01,12:30,0.0,0,,,,,
2016-10-01,13:00,1.3,7,20,17,13,0.00,0.0
2016-10-01,13:30,0.0,0,,,,,
2016-10-01,14:00,1.4,9,22,24,13,0.00,0.0
2016-10-01,14:30,0.0,0,,,,,
2016-10-01,15:00,1.4,9,26,24,13,0.00,0.0
2016-10-01,15:30,0.0,0,,,,,
2016-10-01,16:00,3.1,5,20,21,13,0.00,0.0
2016-10-01,16:30,0.0,0,,,,,
2016-10-01,17:00,5.3,9,29,15,13,0.00,0.0
2016-10-01,17:30,0.0,0,,,,,
2016-10-01,18:00,3.2,12,34,30,13,0.00,0.0
2016-10-01,18:30,0.0,0,,,,,
2016-10-01,19:00,2.0,3,15,67,13,0.00,0.0
2016-10-01,19:30,0.0,0,,,,,
2016-10-01,20:00,1.9,6,20,64,13,0.00,0.0
2016-10-01,20:30,0.0,0,,,,,
2016-10-01,21:00,2.3,5,12,55,13,0.00,0.0
2016-10-01,21:30,0.0,0,,,,,
2016-10-01,22:00,1.2,4,12,49,13,0.00,0.0
2016-10-01,22:30,0.0,0,,,,,
2016-10-01,23:00,,3,12,53,13,0.00,0.0
2016-10-01,23:30,0.0,0,,,,,
2016-10-02,00:00,,2,8,51,13,0.00,0.0
2016-10-02,00:30,0.0,0,,,,,
2016-10-02,01:00,,2,9,49,8,0.00,0.0
2016-10-02,01:30,0.0,0,,,,,
2016-10-02,02:00,,3,12,45,8,0.00,0.0
2016-10-02,02:30,0.0,0,,,,,
2016-10-02,03:00,,2,9,39,8,0.00,0.0
2016-10-02,03:30,0.0,0,,,,,
2016-10-02,04:00,0.6,3,10,29,8,0.00,0.0
2016-10-02,04:30,0.0,0,,,,,
2016-10-02,05:00,0.5,6,14,23,8,0.00,0.0
2016-10-02,05:30,0.0,0,,,,,
2016-10-02,06:00,0.3,7,11,24,8,0.00,0.0
2016-10-02,06:30,0.0,0,,,,,
2016-10-02,07:00,0.4,15,18,27,8,0.00,0.0
2016-10-02,07:30,0.0,0,,,,,
2016-10-02,08:00,0.4,14,20,32,8,0.00,0.0
2016-10-02,08:30,0.0,0,,,,,
2016-10-02,09:00,0.8,9,14,43,8,0.00,0.0
2016-10-02,09:30,0.0,0,,,,,
2016-10-02,10:00,0.7,9,12,49,8,0.00,0.0
2016-10-02,10:30,0.0,0,,,,,
2016-10-02,11:00,0.7,8,13,53,8,0.00,0.0
2016-10-02,11:30,0.0,0,,,,,
2016-10-02,12:00,0.7,11,19,60,8,0.00,0.0
2016-10-02,12:30,0.0,0,,,,,
2016-10-02,13:00,0.7,11,18,67,8,0.00,0.0
2016-10-02,13:30,0.0,0,,,,,
2016-10-02,14:00,1.1,8,15,73,8,0.00,0.0
2016-10-02,14:30,0.0,0,,,,,
2016-10-02,15:00,1.3,13,23,73,8,0.00,0.0
2016-10-02,15:30,0.0,0,,,,,
2016-10-02,16:00,1.0,20,30,70,8,0.00,0.0
2016-10-02,16:30,0.0,0,,,,,
2016-10-02,17:00,1.1,17,26,72,8,0.00,0.0
2016-10-02,17:30,0.0,0,,,,,
2016-10-02,18:00,1.3,22,29,66,8,0.00,0.0
2016-10-02,18:30,0.0,0,,,,,
2016-10-02,19:00,2.0,18,26,53,8,0.00,0.0
2016-10-02,19:30,0.0,0,,,,,
2016-10-02,20:00,1.7,18,24,34,8,0.00,0.0
2016-10-02,20:30,0.0,0,,,,,
2016-10-02,21:00,2.5,11,21,32,8,0.00,0.0
2016-10-02,21:30,0.0,0,,,,,
2016-10-02,22:00,1.8,10,20,44,8,0.00,0.0
2016-10-02,22:30,0.0,0,,,,,
2016-10-02,23:00,1.3,9,12,43,8,0.00,0.0
2016-10-02,23:30,0.0,0,,,,,
