Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-01,01:00,,10,31,,14,,
2016-10-01,02:00,,15,28,,14,,
2016-10-01,03:00,,10,24,,14,,
2016-10-01,04:00,,14,24,,14,,
2016-10-01,05:00,,20,21,,14,,
2016-10-01,06:00,,21,19,,14,,
2016-10-01,07:00,,22,16,,14,,
2016-10-01,08:00,,28,17,,14,,
2016-10-01,09:00,,46,21,,14,,
2016-10-01,10:00,,33,24,,14,,
2016-10-01,11:00,,25,27,,14,,
2016-10-01,12:00,,13,21,,14,,
2016-10-01,13:00,,5,13,,14,,
2016-10-01,14:00,,4,13,,14,,
2016-10-01,15:00,,5,16,,14,,
2016-10-01,16:00,,7,25,,14,,
2016-10-01,17:00,,12,35,,14,,
2016-10-01,18:00,,6,18,,14,,
2016-10-01,19:00,,3,18,,14,,
2016-10-01,20:00,,2,10,,14,,
2016-10-01,21:00,,2,12,,14,,
2016-10-01,22:00,,2,9,,14,,
2016-10-01,23:00,,2,11,,14,,
2016-10-02,00:00,,2,10,,14,,
2016-10-02,01:00,,1,8,,6,,
2016-10-02,02:00,,1,7,,6,,
2016-10-02,03:00,,1,4,,6,,
2016-10-02,04:00,,1,4,,6,,
2016-10-02,05:00,,1,9,,6,,
2016-10-02,06:00,,1,13,,6,,
2016-10-02,07:00,,3,19,,6,,
2016-10-02,08:00,,4,14,,6,,
2016-10-02,09:00,,4,10,,6,,
2016-10-02,10:00,,3,6,,6,,
2016-10-02,11:00,,2,5,,6,,
2016-10-02,12:00,,3,7,,6,,
2016-10-02,13:00,,5,11,,6,,
2016-10-02,14:00,,3,7,,6,,
2016-10-02,15:00,,5,14,,6,,
2016-10-02,16:00,,4,10,,6,,
2016-10-02,17:00,,4,15,,6,,
2016-10-02,18:00,,3,12,,6,,
2016-10-02,19:00,,5,19,,6,,
2016-10-02,20:00,,5,22,,6,,
2016-10-02,21:00,,11,32,,6,,
2016-10-02,22:00,,19,37,,6,,
2016-10-02,23:00,,33,40,,6,,
2016-10-03,00:00,,3,16,,6,,
2016-10-03,01:00,,1,10,,8,,
2016-10-03,02:00,,1,9,,8,,
2016-10-03,03:00,,1,9,,8,,
2016-10-03,04:00,,1,8,,8,,
2016-10-03,05:00,,1,8,,8,,
2016-10-03,06:00,,1,9,,8,,
2016-10-03,07:00,,1,9,,8,,
2016-10-03,08:00,,2,7,,8,,
2016-10-03,09:00,,4,7,,8,,
2016-10-03,10:00,,5,9,,8,,
